,State,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR)
0,AK,15481,15521,14819,18225,19511,16613,16376,17325,17620,18527,339819,347228,332631,329274,333936,330883,343899,346255,343384,373567,268848,250063,230765,226102,235839,219837,216452,215613,220818,222323,0,0,0,0,0,0,0,0,0,0,16702,17831,18931,22760,23819,26254,24447,24996,23608,25527
1,AL,651032,547004,565051,575912,494311,410168,378890,377152,317180,256687,609288,677380,625869,650570,701582,715033,681208,771194,748731,714871,521337,513993,492294,490328,511742,538953,530370,518687,529319,525878,411822,427975,426488,431368,438728,417334,446097,412584,455865,454930,279972,265964,336863,293890,284365,259513,285081,301170,298545,308209
2,AR,306119,296732,327099,339214,226889,246437,267591,304145,239798,161980,288906,300572,288045,273009,296826,315617,317530,366939,371388,335441,337961,321213,321254,325319,314414,322808,321210,326432,330550,315440,148531,162353,124816,151428,144716,140370,132736,132996,141750,157349,135133,125377,132370,131625,129264,127831,121635,124834,132189,118123
3,AZ,459909,420570,454865,447849,385822,323878,334512,331492,257727,156821,293134,339043,340375,315916,365313,373916,334629,400531,484249,513539,552991,538460,543380,543552,557369,576213,583258,590247,607131,544270,327292,334636,328423,338044,340153,338636,338246,325122,333312,329597,129110,114315,119753,139836,149031,162028,172736,179533,174570,177618
4,CA,55264,43832,38151,39486,30967,32077,33663,33256,30886,28034,2196252,2456371,2480792,2409574,2384061,2248939,2190994,2209801,2218732,2151068,3174345,3079327,3096230,3083503,3201112,3315378,3392689,3409954,3395439,2688622,383644,193939,187162,177656,193529,197754,187227,190422,168799,169838,953565,818490,897358,903692,911138,1116287,1314777,1213958,1373488,1244897
5,CO,368871,370085,363532,350526,340107,321476,315835,284474,273338,217082,477208,456471,480875,497182,490642,464749,462135,518088,553842,552271,463660,458509,464287,480827,479850,482014,489738,512429,526331,437992,0,0,0,0,0,0,0,0,0,0,107753,108351,122946,131177,133682,158875,162034,165952,178021,194190
6,CT,6081,9290,7679,9097,6536,2340,2507,4023,867,67,236016,236260,240102,242227,260925,254652,246532,285991,293149,297582,317397,300595,307661,308514,313997,296001,299249,316551,304773,262428,166669,178959,178465,165677,182083,173363,172570,176496,174730,164157,43360,38975,42952,45472,46764,47868,46758,49572,48862,46777
7,DC,48,77,4,48,44,34,30,37,5,0,33389,29389,33725,35302,33654,30160,30607,32623,31603,27984,22226,19354,18790,20118,20423,19489,16915,19017,18555,15492,0,0,0,0,0,0,0,0,0,0,1296,1077,1179,1313,1831,2193,2257,2661,3049,3024
8,DE,17881,17384,18254,10238,7149,8199,4804,4296,2179,1956,81710,104421,100682,107051,107819,113552,103121,99416,93442,94009,114686,108981,101393,103067,109009,110248,112654,119451,120332,104587,0,0,0,0,0,0,0,0,0,0,7844,7116,7619,8064,7744,7597,7912,8035,8544,7722
9,FL,552730,482984,505155,557882,466530,426188,407538,327807,233542,180387,1235953,1348390,1245287,1241250,1378089,1414358,1421271,1511134,1578269,1619429,1610356,1549928,1588920,1613839,1695087,1738523,1757690,1843337,1804514,1484594,230369,187259,277169,291474,294099,306658,304840,306461,303946,307315,288638,287354,301827,298010,293757,290005,306615,314801,315365,316100
