,State Abbreviation,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR),2011(BM),2012(BM),2013(BM),2014(BM),2015(BM),2016(BM),2017(BM),2018(BM),2019(BM),2020(BM),2011(GT),2012(GT),2013(GT),2014(GT),2015(GT),2016(GT),2017(GT),2018(GT),2019(GT),2020(GT),2011(HP),2012(HP),2013(HP),2014(HP),2015(HP),2016(HP),2017(HP),2018(HP),2019(HP),2020(HP),2011(S),2012(S),2013(S),2014(S),2015(S),2016(S),2017(S),2018(S),2019(S),2020(S),2011(W),2012(W),2013(W),2014(W),2015(W),2016(W),2017(W),2018(W),2019(W),2020(W),State,2011_LungBronchus,2011_LungBronchus_perCapita,2011_Population,2012_LungBronchus,2012_LungBronchus_perCapita,2012_Population,2013_LungBronchus,2013_LungBronchus_perCapita,2013_Population,2014_LungBronchus,2014_LungBronchus_perCapita,2014_Population,2015_LungBronchus,2015_LungBronchus_perCapita,2015_Population,2016_LungBronchus,2016_LungBronchus_perCapita,2016_Population,2017_LungBronchus,2017_LungBronchus_perCapita,2017_Population,2018_LungBronchus,2018_LungBronchus_perCapita,2018_Population,2019_LungBronchus,2019_LungBronchus_perCapita,2019_Population,2020_LungBronchus,2020_LungBronchus_perCapita,2020_Population,2021 Lung & Bronchus,2021_Population,2021_LungBronchus_perCapita,2011-2020 allsites/capita AVG,2011-2020 lungBronchus/capita AVG,Lung/Bronchus_Classifer,Change from 2011 to 2020 (percapita)
0,AK,15481,15521,14819,18225,19511,16613,16376,17325,17620,18527,339819,347228,332631,329274,333936,330883,343899,346255,343384,373567,268848,250063,230765,226102,235839,219837,216452,215613,220818,222323,0,0,0,0,0,0,0,0,0,0,16702,17831,18931,22760,23819,26254,24447,24996,23608,25527,3299,2298,3660,6494,7530,9181,7802,8231,7668,8687,214,186,186,186,186,186,186,186,186,186,13066,14988,13696,14632,14613,15311,15135,15141,14446,15465,3,3,3,3,3,14,20,28,40,62,121,356,1386,1445,1487,1562,1305,1410,1269,1127,Alaska,380,0.000526,722128,490,0.000671,730443,470,0.000638,737068,430,0.000584,736283,420,0.000569,737498,440,0.000593,741456,450,0.000608,739700,460,0.000626,735139,400,0.000547,731545,400,0.000546,732964.0,370,734923,0.0005034541033550454,0.004628,0.000591,0,-2.0000000000000052e-05
1,AL,651032,547004,565051,575912,494311,410168,378890,377152,317180,256687,609288,677380,625869,650570,701582,715033,681208,771194,748731,714871,521337,513993,492294,490328,511742,538953,530370,518687,529319,525878,411822,427975,426488,431368,438728,417334,446097,412584,455865,454930,279972,265964,336863,293890,284365,259513,285081,301170,298545,308209,193453,194992,213553,203628,192270,194485,198072,196226,193284,187599,135,141,141,141,141,141,141,141,141,141,86313,70754,123071,90020,91853,64456,85057,101380,101495,117032,71,77,98,100,101,431,1811,3423,3625,3437,0,0,0,0,0,0,0,0,0,0,Alabama,4240,0.000884,4799069,4440,0.000922,4815588,4550,0.000942,4830081,4160,0.000859,4841799,4150,0.000855,4852347,4220,0.000868,4863525,3880,0.000796,4874486,4190,0.000857,4887681,4150,0.000846,4903185,4230,0.000841,5031864.0,4520,5050380,0.0008949821597582756,0.005554,0.000867,1,4.300000000000007e-05
2,AR,306119,296732,327099,339214,226889,246437,267591,304145,239798,161980,288906,300572,288045,273009,296826,315617,317530,366939,371388,335441,337961,321213,321254,325319,314414,322808,321210,326432,330550,315440,148531,162353,124816,151428,144716,140370,132736,132996,141750,157349,135133,125377,132370,131625,129264,127831,121635,124834,132189,118123,105562,103550,106124,105604,95088,93707,93283,94536,92332,74385,750,808,808,808,808,808,808,808,808,808,28738,20921,25329,25102,33243,32944,27102,27374,36795,39720,84,98,108,111,124,372,442,2116,2254,3209,0,0,0,0,0,0,0,0,0,0,Arkansas,2660,0.000905,2940667,2760,0.000935,2952164,2700,0.000912,2959400,2660,0.000896,2967392,2620,0.00088,2978048,2610,0.000873,2989918,2620,0.000873,3001345,2720,0.000904,3009733,2690,0.000891,3017804,2760,0.000916,3014348.0,2970,3028443,0.000980701964672936,0.005473,0.000898,1,-1.100000000000005e-05
3,AZ,459909,420570,454865,447849,385822,323878,334512,331492,257727,156821,293134,339043,340375,315916,365313,373916,334629,400531,484249,513539,552991,538460,543380,543552,557369,576213,583258,590247,607131,544270,327292,334636,328423,338044,340153,338636,338246,325122,333312,329597,129110,114315,119753,139836,149031,162028,172736,179533,174570,177618,29754,27209,27187,33300,35397,37709,37953,40107,40871,35235,345,345,345,345,345,345,345,345,345,345,89135,63918,56432,58179,60874,66144,62908,63524,55213,56316,7393,17784,31499,43562,48205,52832,66282,70733,73207,80075,2483,5059,4291,4451,4210,4998,5248,4824,4933,5647,Arizona,3820,0.00059,6472643,3970,0.000606,6554978,4250,0.000641,6632764,4280,0.000636,6730413,3740,0.000548,6829676,3980,0.000573,6941072,3940,0.000559,7044008,4460,0.000623,7158024,4290,0.000589,7278717,4200,0.000584,7186683.0,4550,7272487,0.000625645669768815,0.004939,0.000595,1,6.000000000000037e-06
4,CA,55264,43832,38151,39486,30967,32077,33663,33256,30886,28034,2196252,2456371,2480792,2409574,2384061,2248939,2190994,2209801,2218732,2151068,3174345,3079327,3096230,3083503,3201112,3315378,3392689,3409954,3395439,2688622,383644,193939,187162,177656,193529,197754,187227,190422,168799,169838,953565,818490,897358,903692,911138,1116287,1314777,1213958,1373488,1244897,299705,296354,343657,349289,344065,349253,357861,357070,405324,400214,124092,121269,119556,117214,112818,107867,108579,108375,99263,101789,413488,255384,226643,157197,128612,267078,390080,239556,341319,187416,40964,52660,85168,156446,211736,267428,340183,381368,405353,436394,75317,92821,122335,123546,113906,124661,118074,127590,122228,119083,California,17660,0.000469,37638369,18060,0.000476,37948800,18720,0.000489,38260787,18780,0.000487,38596972,18430,0.000474,38918045,18140,0.000463,39167117,18270,0.000464,39358497,18760,0.000475,39461588,18990,0.000481,39512223,18040,0.000457,39503200.0,17760,39145060,0.0004536970948569245,0.004456,0.000473,0,1.200000000000002e-05
5,CO,368871,370085,363532,350526,340107,321476,315835,284474,273338,217082,477208,456471,480875,497182,490642,464749,462135,518088,553842,552271,463660,458509,464287,480827,479850,482014,489738,512429,526331,437992,0,0,0,0,0,0,0,0,0,0,107753,108351,122946,131177,133682,158875,162034,165952,178021,194190,33469,32766,36671,37476,41942,44116,44071,44599,47803,41829,741,759,759,759,759,759,759,759,759,759,20235,14247,11572,16829,15090,17557,17470,16607,16116,14628,2782,3782,5214,6045,6267,9505,13966,15326,16769,19618,50526,56798,68731,70068,69625,86939,85769,88661,96575,117357,Colorado,2250,0.000439,5121108,2400,0.000462,5192647,2550,0.000484,5269035,2540,0.000475,5350101,2560,0.00047,5450623,2520,0.000455,5539215,2420,0.000431,5611885,2560,0.00045,5691287,2690,0.000467,5758736,2550,0.000441,5785219.0,2570,5811596,0.00044221931462544884,0.004483,0.000457,0,-1.9999999999999944e-06
6,CT,6081,9290,7679,9097,6536,2340,2507,4023,867,67,236016,236260,240102,242227,260925,254652,246532,285991,293149,297582,317397,300595,307661,308514,313997,296001,299249,316551,304773,262428,166669,178959,178465,165677,182083,173363,172570,176496,174730,164157,43360,38975,42952,45472,46764,47868,46758,49572,48862,46777,36656,34711,37487,39085,40975,41535,38478,37912,37386,34502,19,21,21,21,21,21,21,21,21,21,5513,2970,3835,4127,2817,2068,3059,5052,3808,2858,1171,1273,1610,2239,2951,4127,5084,6476,7539,9290,0,0,0,0,0,118,117,112,109,107,Connecticut,2680,0.000747,3588283,2720,0.000757,3594547,2780,0.000773,3594841,2730,0.000759,3594524,2870,0.0008,3587122,2770,0.000774,3578141,2540,0.000711,3573297,2700,0.000756,3571520,2580,0.000724,3565287,2650,0.000741,3577586.0,2750,3603691,0.0007631064927597843,0.006009,0.000754,1,6.000000000000037e-06
7,DC,48,77,4,48,44,34,30,37,5,0,33389,29389,33725,35302,33654,30160,30607,32623,31603,27984,22226,19354,18790,20118,20423,19489,16915,19017,18555,15492,0,0,0,0,0,0,0,0,0,0,1296,1077,1179,1313,1831,2193,2257,2661,3049,3024,1048,832,900,999,1506,1876,1754,1989,2108,1850,59,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,188,223,257,292,304,295,481,650,920,1152,0,0,0,0,0,0,0,0,0,0,District of Columbia,360,0.000581,619800,370,0.000583,634924,320,0.000492,650581,320,0.000483,662328,310,0.000459,675400,300,0.000437,685815,310,0.000446,694906,310,0.000442,701547,340,0.000482,705749,300,0.000447,670839.0,360,669037,0.0005380868322678716,0.004538,0.000485,1,0.000134
8,DE,17881,17384,18254,10238,7149,8199,4804,4296,2179,1956,81710,104421,100682,107051,107819,113552,103121,99416,93442,94009,114686,108981,101393,103067,109009,110248,112654,119451,120332,104587,0,0,0,0,0,0,0,0,0,0,7844,7116,7619,8064,7744,7597,7912,8035,8544,7722,7031,6068,6137,6397,6037,5985,6083,6067,6441,5605,401,430,430,430,430,430,430,430,430,430,0,0,0,0,0,0,0,0,0,0,365,584,1009,1189,1229,1133,1353,1491,1627,1641,47,35,43,48,48,49,46,47,47,45,Delaware,780,0.00086,907381,800,0.000874,915179,760,0.000823,923576,790,0.000847,932487,860,0.000914,941252,850,0.000896,948921,850,0.000888,956823,890,0.000922,965479,840,0.000863,973764,890,0.000897,991862.0,910,1004881,0.0009055798646804945,0.005954,0.000878,1,-3.700000000000003e-05
9,FL,552730,482984,505155,557882,466530,426188,407538,327807,233542,180387,1235953,1348390,1245287,1241250,1378089,1414358,1421271,1511134,1578269,1619429,1610356,1549928,1588920,1613839,1695087,1738523,1757690,1843337,1804514,1484594,230369,187259,277169,291474,294099,306658,304840,306461,303946,307315,288638,287354,301827,298010,293757,290005,306615,314801,315365,316100,251217,248455,260909,256189,251293,247497,256365,249306,235146,209583,9799,10056,10056,10056,10056,10056,10056,10056,10056,10056,1769,1432,2425,2010,2275,1611,2010,2116,1868,2031,25853,27410,28437,29755,30133,30842,38184,53322,68295,94430,0,0,0,0,0,0,0,0,0,0,Florida,17150,0.0009,19053237,17860,0.000925,19297822,17960,0.000919,19545621,17960,0.000905,19845911,16810,0.000832,20209042,17360,0.000842,20613477,19000,0.000906,20963613,18710,0.000881,21244317,18560,0.000864,21477737,18150,0.000841,21591299.0,18470,21830708,0.0008460559318552563,0.00608,0.000881,0,5.9000000000000025e-05
