"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=0,1&fuel=vtvv&geo=g&linechart=ELEC.GEN.ALL-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=201001&end=202012&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Wed Apr 03 2024 00:21:13 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-US-99.M",360957,319735,312168,287800,327936,375759,409725,408884,346045,307921,306010,362119,362872,313127,318710,302401,323628,367727,418693,406511,337931,308699,304102,335740,339526,309389,309090,295229,336516,360825,414641,395700,334586,311652,305976,334635,348967,309728,325399,299333,322156,356823,394846,385286,340941,314925,314540,353021,377251,324347,331821,297628,324719,357840,385775,384337,339883,314518,317491,337953,360453,334596,324314,294177,322189,362493,400535,392242,350190,312210,300779,324536,352714,313816,304427,292987,316867,367904,412043,409861,351560,312940,297065,345389,344414,291113,319469,295462,323494,358630,404537,384837,336004,318731,308189,350563,373379,307058,321765,301057,339228,372145,411617,408352,356558,325070,322466,342292,359729,315282,326903,296953,330661,353239,410365,401732,360760,320518,315897,338536,342019,319698,309870,279846,304837,351967,409871,398536,333493,313703,301403,344523
"United States : coal","thousand megawatthours","ELEC.GEN.COW-US-99.M",173320,153044,144406,126952,143272,165491,179600,177745,148746,132270,135185,167258,170803,138311,134845,124488,137102,158055,176586,171281,140941,126627,121463,132929,129091,113872,105526,96285,115983,131261,160450,152181,125589,120999,128727,134079,138105,123547,130634,111835,119513,138283,152867,149426,133110,120996,120940,141860,157097,143294,136443,109281,118786,137577,149627,148452,126110,111296,119127,124620,132451,126977,108488,88989,104585,125673,139100,134670,117986,96759,87227,89495,113459,92705,72173,72113,81695,116034,136316,135635,114138,99194,86940,118747,115333,86822,89365,81335,92777,107508,127698,119488,98202,89776,90986,106545,119284,82050,80626,73346,85227,101503,115376,115129,96544,87264,92819,100319,100905,79929,78352,59922,71885,78540,100771,94040,85707,66777,75549,72581,65140,56201,50731,40675,46527,65283,89709,91145,68407,59805,61182,78588
"United States : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-US-99.M",3187,1251,1272,1220,1851,2656,2970,2419,1675,1221,1220,2395,1902,1217,1276,1459,1356,1374,1714,1295,1119,1114,1082,1178,1180,907,971,965,1078,1306,1531,1202,978,1061,986,1235,1733,1130,990,995,1067,1035,1458,1076,964,945,989,1438,5913,1847,2002,911,960,889,992,1014,929,908,963,947,1927,5221,1061,919,1017,1040,1201,1093,1006,945,995,948,1396,1299,874,833,984,972,1273,1258,946,937,1070,1166,1102,869,956,860,970,991,920,968,931,973,915,1958,5555,804,830,872,1040,1066,988,1047,1055,1015,1006,966,1413,815,816,782,937,957,1004,1047,923,942,899,988,915,749,691,626,691,818,914,887,755,876,800,940
"United States : petroleum coke","thousand megawatthours","ELEC.GEN.PC-US-99.M",1161,1122,1198,1067,1143,1333,1441,1157,1108,1007,860,1128,1555,1217,1416,965,1023,1220,1440,1299,1305,948,701,1007,1297,994,570,538,651,762,809,916,882,744,824,800,1042,867,1007,891,1345,1307,1354,1372,1222,1074,850,1013,1158,916,1186,842,1084,1131,1050,1036,1019,609,775,1149,1046,1100,717,809,922,821,1103,1040,1028,827,715,749,966,910,927,1006,974,1005,1049,1078,980,635,799,869,944,723,699,431,847,901,889,765,712,572,755,737,965,754,642,666,517,834,913,879,799,562,656,795,800,692,574,401,737,563,791,684,581,200,333,463,633,540,704,614,610,801,837,787,439,351,612,751
"United States : natural gas","thousand megawatthours","ELEC.GEN.NG-US-99.M",74173,66198,63431,64644,73665,92268,114624,121151,93004,77738,69227,77573,74254,65924,65947,70029,75243,90691,119624,119856,91739,78819,75441,86122,90761,90610,92251,94829,107352,115598,138863,131736,108012,91725,80169,83989,88559,80283,84725,78036,83816,99615,120771,121156,102063,88587,84287,92936,91062,75945,78154,76785,89121,98470,115083,122350,106584,97685,84356,91040,101691,91440,99550,92856,101625,121568,141241,139216,123111,110110,102369,109892,110044,98688,103933,98974,110519,131523,151716,154926,125683,102898,93951,96416,95661,82837,95214,88562,98074,117351,147042,141308,118132,106895,95072,111553,110442,98675,106742,98672,115565,131086,165075,162001,142085,123280,108265,109955,121808,112397,116059,104349,117297,138087,172282,175270,149938,131113,117959,131973,136084,128018,126187,110564,117186,143055,181568,173644,141397,131413,109811,127863
"United States : other gases","thousand megawatthours","ELEC.GEN.OOG-US-99.M",909,825,1010,943,1017,964,963,1061,954,808,907,952,930,807,945,918,875,1013,1098,1087,1004,941,943,1005,1017,1044,1076,1057,1002,972,1042,1050,904,895,875,963,1144,968,1070,1020,1088,1048,1148,1143,1087,1072,1060,1006,933,817,866,854,944,969,1069,1135,1126,1082,1073,1153,1246,1025,1091,979,1099,1118,1235,1196,1210,906,902,1110,1195,1062,1197,1132,1053,1043,1077,1064,1020,913,1013,1037,1047,978,1060,1001,1056,993,1047,1133,1059,998,1001,1095,1097,1092,1158,1099,1167,1091,1172,1301,1104,1016,1045,1120,1025,948,1086,948,1054,1009,1185,1147,1112,924,1047,1107,1155,1152,1047,802,884,867,937,1094,1013,918,950,999
"United States : nuclear","thousand megawatthours","ELEC.GEN.NUC-US-99.M",72569,65245,64635,57611,66658,68301,71913,71574,69371,62751,62655,73683,72743,64789,65662,54547,57013,65270,72345,71339,66849,63337,64474,71837,72381,63847,61729,55871,62081,65140,69129,69602,64511,59743,56713,68584,71406,61483,62947,56767,62848,66430,70539,71344,65799,63184,64975,71294,73163,62639,62397,56385,62947,68138,71940,71129,67535,62391,65140,73363,74270,63461,64547,59784,65827,68516,71412,72415,66476,60571,60264,69634,72525,65638,66149,62732,66576,67175,70349,71526,65448,60733,65179,71662,73121,63560,65093,56743,61313,67011,71314,72384,68098,65995,66618,73700,74649,64790,67033,59133,67320,69688,72456,72282,64725,59397,63954,71657,73701,64715,65080,60581,67124,68805,72199,71911,66064,62033,64125,73074,74170,65911,63997,59170,64338,67205,69385,68982,65727,59362,61760,69871
"United States : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-US-99.M",22383,20590,20886,19097,25079,29854,24517,20119,17265,17683,19562,23169,25531,24131,31134,31194,32587,32151,31285,25764,21378,19787,20681,23732,23107,20284,25907,26295,28641,26658,26491,23034,17604,16502,18733,22984,24829,20418,20534,25097,28450,27384,27255,21633,16961,17199,17677,21128,21634,17396,24257,25440,26544,25744,24357,19807,16074,17159,18625,22329,24138,22286,24281,22471,20125,20414,21014,19122,16094,16630,19338,23166,25615,24139,27390,25878,25486,23237,21455,19570,16368,17339,18808,22528,26628,23882,29613,29409,32607,30575,26598,22034,19152,17698,19888,22248,25064,24902,25861,28115,30444,27597,25100,22017,19166,19548,21913,22797,24798,22881,26334,27820,31982,28078,24875,22579,18526,18306,20218,21478,24498,25868,23823,23194,29976,27999,26742,23284,18679,18810,20893,21508
"United States : other renewables",,"ELEC.GEN.AOR-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : wind","thousand megawatthours","ELEC.GEN.WND-US-99.M",6854,5432,8589,9764,8698,8049,6724,6686,7106,7944,9748,9059,8550,10452,10545,12422,11772,10985,7489,7474,6869,10525,12439,10656,13631,11052,14027,12709,12540,11972,8823,8469,8790,12636,11648,14524,14739,14076,15756,17476,16239,13748,11094,9634,11674,13635,15803,13967,17911,14009,17736,18636,15601,15799,12187,10171,11520,14508,18867,14711,15162,14922,15308,17867,17151,13421,13675,13080,13972,16380,19682,20098,18466,20138,21939,20799,18848,16303,17618,13589,16404,20335,19406,23146,20799,22091,25731,25378,23068,20142,16120,13879,17912,24369,22615,22201,25599,23189,26464,26431,23953,24703,16447,19846,18520,21194,22016,24306,24301,22623,25773,28915,25779,22446,22101,19978,24513,27625,25184,26644,28121,29110,29320,29752,28378,30212,22866,23029,23186,28823,33129,32011
"United States : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-US-99.M",10,33,76,112,153,176,161,156,138,75,77,44,40,85,122,164,191,223,191,229,186,159,107,121,95,135,231,319,463,527,510,461,458,431,347,349,310,433,619,667,753,871,829,944,949,988,824,850,751,835,1317,1487,1750,1923,1788,1879,1832,1717,1380,1032,1155,1484,2072,2379,2504,2558,2627,2688,2217,1910,1730,1570,1486,2242,2617,2880,3425,3473,3945,3969,3635,3191,2767,2424,2324,2751,4514,4907,5785,6115,5569,5369,5059,4650,3209,3035,3319,3896,5056,6057,6849,7415,6755,6695,5961,4970,3743,3110,3580,3836,5899,6752,7162,7971,8133,7877,6817,6093,4364,3453,4459,5561,6350,7921,9653,9654,10610,9315,7732,7085,5767,5091
