,State,2011(BM),2012(BM),2013(BM),2014(BM),2015(BM),2016(BM),2017(BM),2018(BM),2019(BM),2020(BM),2011(GT),2012(GT),2013(GT),2014(GT),2015(GT),2016(GT),2017(GT),2018(GT),2019(GT),2020(GT),2011(HP),2012(HP),2013(HP),2014(HP),2015(HP),2016(HP),2017(HP),2018(HP),2019(HP),2020(HP),2011(S),2012(S),2013(S),2014(S),2015(S),2016(S),2017(S),2018(S),2019(S),2020(S),2011(W),2012(W),2013(W),2014(W),2015(W),2016(W),2017(W),2018(W),2019(W),2020(W)
0,AK,3299,2298,3660,6494,7530,9181,7802,8231,7668,8687,214,186,186,186,186,186,186,186,186,186,13066,14988,13696,14632,14613,15311,15135,15141,14446,15465,3,3,3,3,3,14,20,28,40,62,121,356,1386,1445,1487,1562,1305,1410,1269,1127
1,AL,193453,194992,213553,203628,192270,194485,198072,196226,193284,187599,135,141,141,141,141,141,141,141,141,141,86313,70754,123071,90020,91853,64456,85057,101380,101495,117032,71,77,98,100,101,431,1811,3423,3625,3437,0,0,0,0,0,0,0,0,0,0
2,AR,105562,103550,106124,105604,95088,93707,93283,94536,92332,74385,750,808,808,808,808,808,808,808,808,808,28738,20921,25329,25102,33243,32944,27102,27374,36795,39720,84,98,108,111,124,372,442,2116,2254,3209,0,0,0,0,0,0,0,0,0,0
3,AZ,29754,27209,27187,33300,35397,37709,37953,40107,40871,35235,345,345,345,345,345,345,345,345,345,345,89135,63918,56432,58179,60874,66144,62908,63524,55213,56316,7393,17784,31499,43562,48205,52832,66282,70733,73207,80075,2483,5059,4291,4451,4210,4998,5248,4824,4933,5647
4,CA,299705,296354,343657,349289,344065,349253,357861,357070,405324,400214,124092,121269,119556,117214,112818,107867,108579,108375,99263,101789,413488,255384,226643,157197,128612,267078,390080,239556,341319,187416,40964,52660,85168,156446,211736,267428,340183,381368,405353,436394,75317,92821,122335,123546,113906,124661,118074,127590,122228,119083
5,CO,33469,32766,36671,37476,41942,44116,44071,44599,47803,41829,741,759,759,759,759,759,759,759,759,759,20235,14247,11572,16829,15090,17557,17470,16607,16116,14628,2782,3782,5214,6045,6267,9505,13966,15326,16769,19618,50526,56798,68731,70068,69625,86939,85769,88661,96575,117357
6,CT,36656,34711,37487,39085,40975,41535,38478,37912,37386,34502,19,21,21,21,21,21,21,21,21,21,5513,2970,3835,4127,2817,2068,3059,5052,3808,2858,1171,1273,1610,2239,2951,4127,5084,6476,7539,9290,0,0,0,0,0,118,117,112,109,107
7,DC,1048,832,900,999,1506,1876,1754,1989,2108,1850,59,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,188,223,257,292,304,295,481,650,920,1152,0,0,0,0,0,0,0,0,0,0
8,DE,7031,6068,6137,6397,6037,5985,6083,6067,6441,5605,401,430,430,430,430,430,430,430,430,430,0,0,0,0,0,0,0,0,0,0,365,584,1009,1189,1229,1133,1353,1491,1627,1641,47,35,43,48,48,49,46,47,47,45
9,FL,251217,248455,260909,256189,251293,247497,256365,249306,235146,209583,9799,10056,10056,10056,10056,10056,10056,10056,10056,10056,1769,1432,2425,2010,2275,1611,2010,2116,1868,2031,25853,27410,28437,29755,30133,30842,38184,53322,68295,94430,0,0,0,0,0,0,0,0,0,0
10,GA,219741,215663,246936,265285,270333,256525,250395,248680,256401,250788,291,315,315,315,315,315,315,315,315,315,26282,21281,35431,29139,27789,31123,22189,33634,35206,40877,516,715,1329,2396,2460,10251,20705,20944,22289,36360,0,0,0,0,0,0,0,0,0,0
11,HI,11187,10026,11720,11624,12075,13414,10944,10700,9971,8428,2183,2491,2630,2422,2153,2408,2978,1009,8,92,905,1090,747,895,1129,838,608,878,841,866,2816,4223,6090,7553,8356,9810,12573,13062,14308,16888,3311,3599,4802,5502,5707,5898,4899,5476,4710,5192
12,IA,239044,228413,232673,241842,252726,257115,264720,273583,274833,244325,1359,1281,1281,1281,1281,1281,1281,1281,1281,1281,8991,7291,7147,8355,8943,8460,9521,8414,7086,8988,34,48,88,268,419,587,905,1290,1603,2071,104050,133533,148538,155061,166466,185224,196800,194097,234088,299676
13,ID,32630,32242,34284,41189,49490,43580,46202,48098,49046,42189,2164,2213,1881,2251,2206,2167,2280,2258,2353,2296,130241,104109,80845,85602,81559,83359,98253,100299,91955,83358,29,45,63,64,81,389,4403,5384,5496,5746,12696,17991,23472,26680,21145,23794,23431,24156,22700,24290
14,IL,168961,164189,171930,177003,165332,172843,168207,163299,158599,146123,1905,2042,2042,2042,2042,2042,2042,2042,2042,2042,1365,1058,1148,1258,1159,1226,1152,1333,1102,1183,1319,1558,1799,1892,1937,2033,2284,2737,3499,5709,60367,73528,91834,95878,100100,98402,112962,108257,128676,142253
15,IN,115492,105189,115856,120323,121363,127609,126448,130245,121029,115495,4499,4647,4647,4647,4647,4647,4647,4647,4647,4647,3972,4125,3692,3529,3551,3934,2818,2026,2278,2374,165,182,489,1205,1713,2390,3030,3690,4157,4763,31921,30547,33213,33244,42054,45212,46863,49467,55316,55123
16,KS,44156,39496,41819,47510,46192,47466,47041,49236,49489,48314,1005,974,974,974,974,974,974,974,974,974,143,99,139,154,177,282,269,240,182,284,29,38,55,56,87,125,231,345,471,954,36143,49439,90002,103124,102440,130215,171251,172020,187978,210090
17,KY,58823,55051,62326,63853,54792,56686,58725,60192,60481,53300,2700,2712,2712,2712,2712,2712,2712,2712,2712,2712,28850,22475,31249,29892,31700,32094,41491,40193,37656,43883,84,91,186,188,198,365,481,718,826,893,0,0,0,0,0,0,0,0,0,0
18,LA,122926,122154,139120,160089,145621,162310,149426,146181,134282,129767,1891,1842,1842,1842,1842,1842,1842,1842,1842,1842,10144,6470,9966,10365,9305,10179,8345,10734,12153,10553,165,317,670,1075,1520,1851,1957,2188,2249,2693,0,0,0,0,0,0,0,0,0,0
19,MA,63502,60395,65534,66527,65888,66126,61781,59729,58629,51362,962,859,859,859,859,859,859,859,859,859,11161,8683,9460,8578,7704,6575,9553,10314,8682,7397,1010,2381,4752,9149,12529,17487,21521,28159,29491,32972,596,853,1955,2139,1999,1994,2142,2010,1876,2089
20,MD,51871,50600,56132,55035,49076,48654,47643,47328,42100,33265,532,570,570,570,570,570,570,570,570,570,24748,15764,16477,15362,15118,12847,18098,25755,19471,14876,524,1346,2249,3448,4373,6831,9343,11449,13106,13457,2630,3061,3069,3077,4048,4864,5169,5186,4630,4784
21,ME,121039,118384,124043,118906,124811,106551,102172,103562,100304,88715,68,72,72,72,72,72,72,72,72,72,38660,35519,33970,34453,31300,27681,31204,29669,31141,27688,141,192,265,271,323,418,577,765,896,1175,6866,8440,9996,10435,12068,15384,21481,21692,22194,20998
22,MI,153361,151415,162703,163477,174814,170546,168031,175701,170114,152696,5088,5193,5193,5193,5193,5193,5193,5193,5193,5193,13188,11484,13539,15215,13964,14436,15460,14277,14681,15021,560,732,769,816,853,1088,1691,2303,2755,3227,4435,10769,26711,36782,44678,43333,47801,49650,51843,59047
23,MN,167781,162070,160530,175139,178087,178398,172076,178423,178245,157085,1003,1075,1075,1075,1075,1075,1075,1075,1075,1075,7250,5339,4877,5216,7908,11152,11581,9585,9398,8783,240,294,344,411,473,645,6244,10430,12257,15763,65347,77805,78797,92152,91080,91666,102552,97473,97576,103724
24,MO,73032,65479,74874,80006,69235,70026,70062,73992,72438,67355,329,352,352,352,352,352,352,352,352,352,11515,6797,10843,6631,14856,11705,10880,7537,19720,16477,47,216,523,1189,1541,1876,2432,2978,3531,4074,11448,11845,11133,10756,9622,10353,18714,25790,25432,29327
25,MS,74485,87564,75915,77061,73235,75936,69987,70020,66173,63866,1074,958,958,958,958,958,958,958,958,958,0,0,0,0,0,0,0,0,0,0,17,17,34,35,29,73,902,3078,3005,3916,0,0,0,0,0,0,0,0,0,0
26,MT,8386,8017,8992,9317,18596,19528,19636,23379,22887,20344,403,337,337,337,337,337,337,337,337,337,122382,107373,91959,109189,92094,93042,100795,103759,89030,94224,32,84,115,117,85,110,275,497,488,592,12292,12007,16741,18769,18299,19750,19842,19592,21120,26815
27,NC,149240,148190,157380,155000,147848,147215,150492,146317,145756,141691,903,967,967,967,967,967,967,967,967,967,37828,35475,65838,45226,44167,40762,35156,60096,55047,69763,570,1941,4167,7897,13863,33383,49072,57796,69015,75963,0,0,0,0,0,58,4335,4938,4655,4789
28,ND,25792,24760,26922,27184,28664,31692,36582,35689,35354,34757,1001,978,978,978,978,978,978,978,978,978,25068,23573,17674,24071,19505,17644,23776,28933,28293,21483,4,6,7,7,7,7,7,8,11,11,50869,50192,52656,58979,60594,75410,104596,97648,99785,119528
29,NE,117400,107554,109254,117619,117974,124279,125012,125851,126124,108866,1195,1212,1212,1212,1212,1212,1212,1212,1212,1212,15713,11962,10723,11009,15694,7903,13711,12574,11927,12187,30,33,37,38,41,90,219,373,445,678,10210,12215,17191,26026,29623,35052,46814,50486,64172,79914
30,NH,35670,36249,41530,44447,51507,47703,49094,45512,44270,34337,27,29,29,29,29,29,29,29,29,29,15592,11869,13617,13135,11831,10570,13015,12328,13011,10768,96,124,169,206,292,547,875,1055,1228,1483,642,1986,3713,3914,3944,3989,3790,3700,3857,4602
31,NJ,65958,62806,68475,70479,59875,62371,57421,55033,52416,44783,435,466,466,466,466,466,466,466,466,466,237,102,174,164,89,87,126,323,236,135,7458,13401,16933,19678,20956,22252,25617,28212,31680,35203,102,110,104,217,201,192,207,206,196,175
32,NM,18818,17651,19515,18898,20804,21047,20438,23221,26378,21828,442,368,368,451,458,499,487,487,885,835,1892,2120,876,936,926,1365,1779,1361,1408,1777,1698,3844,4724,6234,7253,8587,13069,14754,15037,18739,20447,21181,20927,21631,19466,33271,42307,55421,61333,63334
33,NV,10111,9303,10305,11481,12513,14187,14630,15717,15870,13689,22419,23886,27022,27496,30519,32493,31859,33045,36335,34870,21284,23223,25588,22717,21088,16511,16691,17116,19952,16862,4222,6036,8790,11649,18207,33310,43037,48516,49933,57245,0,1226,2390,2854,2885,3173,3327,2842,2931,2848
34,NY,135968,132355,140965,145391,160141,157681,159888,164409,162300,139541,1283,1185,1185,1185,1185,1185,1185,1185,1185,1185,272019,234593,238270,248060,242299,248125,277575,269574,272495,259064,2093,3147,3885,5296,7725,10670,13911,17674,22491,28799,27478,28468,33770,37736,37042,36360,38084,36377,39653,39642
35,OH,128531,125625,139153,142875,136918,137760,133183,134397,131871,120825,3372,3435,3435,3435,3435,3435,3435,3435,3435,3435,3728,3941,5240,4545,4253,4617,2554,2220,3583,3281,551,1130,1356,1566,1677,1873,2434,2753,3266,3790,1928,9378,10933,10968,11205,11492,14627,15922,18180,20069
36,OK,45595,46968,50705,50755,47467,51206,54515,56225,53420,53253,23,24,24,24,24,24,24,24,24,24,14641,10901,20781,13583,24812,23748,18749,18513,34735,25025,30,36,48,49,71,115,381,691,733,844,54461,77628,106501,113507,130684,185198,217298,248723,258143,257899
37,OR,66252,68997,80146,82579,93349,92009,99322,100985,105017,100335,1286,1476,2803,2977,2898,2927,2838,2836,2883,2916,411131,375027,315785,335306,291098,318822,352611,322458,269836,279848,1665,1903,2147,2323,2429,3139,4825,8458,9429,13105,46398,60365,71135,71844,61766,66046,57334,67757,58457,76950
38,PA,162101,157080,173435,167629,174037,170698,171831,173457,166439,152305,2180,2162,2162,2162,2162,2162,2162,2162,2162,2162,31258,21334,24088,25115,24251,21912,28759,38773,31174,23429,2456,2997,3540,3707,3756,4069,4681,5108,5868,7145,17435,20256,31982,33897,31227,32079,33062,32452,28926,32861
39,RI,6573,5747,5818,7473,7992,7496,7439,7336,7779,7584,127,57,57,57,57,57,57,57,57,57,72,41,42,38,29,20,22,37,32,31,100,145,165,240,297,450,678,1172,2130,4372,28,13,25,94,94,245,1371,1443,1835,1883
40,SC,120127,124748,125730,133352,126557,128715,133265,130188,128634,121095,605,648,648,648,648,648,648,648,648,648,15100,13515,30152,24430,23884,20542,16897,27419,26485,33865,46,52,58,117,140,412,2036,6944,10599,18380,0,0,0,0,0,0,0,0,0,0
41,SD,62252,59574,62689,63760,67721,68514,70746,73493,72109,69450,1962,1868,1868,1868,1868,1868,1868,1868,1868,1868,64205,56915,38761,52283,45177,44345,48393,57011,70437,51117,5,6,6,9,10,15,32,29,32,38,25925,22399,25643,22216,23262,34275,27240,25793,24822,48606
42,TN,97500,101260,106278,108613,105705,106205,100443,102527,97106,89848,199,213,213,213,213,213,213,213,213,213,93037,78942,118721,84636,89240,62511,80028,93643,90145,117937,53,170,723,856,1293,1545,1678,2377,3767,3653,516,452,446,486,427,348,399,373,338,344
43,TX,218877,216418,231668,242682,237474,264117,260442,272193,262990,237571,2488,2478,2478,2478,2478,2478,2478,2478,2478,2478,5471,5562,4580,3670,8908,12384,9779,10248,13130,9463,1260,2387,3231,4815,6394,10942,25141,36275,48351,89596,296805,306550,342270,380409,417578,530894,617498,688723,744138,810430
44,UT,9627,10023,10907,11185,14999,16556,16045,16879,17840,16269,4027,3993,3851,5768,4809,5285,5237,4864,3570,4111,11952,7116,4818,6018,7160,7009,11913,8435,7788,7160,110,196,285,433,980,11163,23084,23879,23607,27389,5565,6698,5150,6275,5830,7588,7903,7229,7285,7037
45,VA,121982,122117,138197,155898,155759,151006,150998,157833,144528,136500,1764,1701,1701,1701,1701,1701,1701,1701,1701,1701,11760,9933,11961,9083,10790,13579,10279,16057,13520,17799,544,621,658,729,803,1104,4032,8235,10160,14439,0,0,0,0,0,0,0,0,0,0
46,VT,18657,16557,21134,20763,26814,24707,24286,27044,25721,23307,27,29,29,29,29,29,29,29,29,29,13843,10956,12269,11176,10613,9943,11790,11538,11898,9904,170,277,462,627,1044,1335,2028,2251,2765,3221,322,1017,2252,2960,3030,2687,2812,3397,3359,3363
47,WA,125648,121432,128945,130961,140355,149698,144865,144912,147193,129421,1262,1136,1136,1136,1136,1136,1136,1136,1136,1136,892101,851343,745678,755615,683693,722975,756740,735877,587497,669883,199,266,338,471,649,957,1200,1505,2340,2722,60845,62803,66829,69109,65900,74210,63767,71875,59421,81231
48,WI,153143,147797,154023,155692,162766,159324,157696,164881,160588,140351,574,615,615,615,615,615,615,615,615,615,20859,14562,18880,23504,21801,25795,24468,21763,23502,24440,327,409,425,468,505,583,952,1286,1481,2195,11540,14822,14864,15386,14803,13983,15107,14899,16711,15460
49,WV,28625,25431,31139,31440,19150,19415,19027,20488,19788,17204,30,32,32,32,32,32,32,32,32,32,14118,13622,16590,11810,12900,15118,15271,16810,15182,13957,57,75,84,85,93,104,126,140,163,188,10712,12238,13229,13801,12818,13216,15491,16103,14515,16638
50,WY,4436,4728,5052,5172,8604,8306,8586,8400,8867,8328,670,663,663,663,663,663,663,663,663,663,11890,8502,6782,8261,8087,8983,10346,8877,8832,9521,6,14,24,24,27,33,45,67,1687,1565,44809,41576,42298,41894,34990,40505,39785,36912,37045,48329
51,US,4616493,4516952,4861035,5015522,5014887,5063053,5044599,5104513,5056000,4640247,212311,211592,214006,214474,211756,209541,210154,208769,201192,202805,3102852,2628702,2562382,2466317,2319932,2471371,2765466,2661383,2561788,2500996,110354,155590,225486,337397,426543,569992,776521,914505,1016276,1211326,1167636,1340059,1601359,1727360,1776353,2094687,2341619,2480728,2633058,2962703
