,region,sub-region,country,Date,max_temp_avg,min_temp_avg,2010-2015 (millions),2016-2020 (millions)
0,South,East South Central,US,2010-01-01,36.937668,22.68431,2,2
1,South,East South Central,US,2010-02-01,38.076675,23.072702,2,2
2,South,East South Central,US,2010-03-01,52.501175,34.194633,2,2
3,South,East South Central,US,2010-04-01,64.33341,44.25436,2,2
4,South,East South Central,US,2010-05-01,71.21372,52.538177,2,2
5,South,East South Central,US,2010-06-01,80.72977,62.77771,2,2
6,South,East South Central,US,2010-07-01,84.79057,66.902374,2,2
7,South,East South Central,US,2010-08-01,83.88784,66.07894,2,2
8,South,East South Central,US,2010-09-01,77.41048,59.109478,2,2
9,South,East South Central,US,2010-10-01,66.02441,48.25433,2,2
10,South,East South Central,US,2010-11-01,52.30418,36.416477,2,2
11,South,East South Central,US,2010-12-01,38.474895,24.863665,2,2
12,South,East South Central,US,2011-01-01,36.313534,21.066587,2,2
13,South,East South Central,US,2011-02-01,42.636295,24.629112,2,2
14,South,East South Central,US,2011-03-01,50.95763,33.4567,2,2
15,South,East South Central,US,2011-04-01,62.267063,43.468475,2,2
16,South,East South Central,US,2011-05-01,69.74315,51.4604,2,2
17,South,East South Central,US,2011-06-01,79.98577,61.15583,2,2
18,South,East South Central,US,2011-07-01,86.217705,67.62363,2,2
19,South,East South Central,US,2011-08-01,84.0087,65.868706,2,2
20,South,East South Central,US,2011-09-01,75.506004,58.293713,2,2
21,South,East South Central,US,2011-10-01,64.195885,47.466927,2,2
22,South,East South Central,US,2011-11-01,53.815475,38.06377,2,2
23,South,East South Central,US,2011-12-01,45.00038,30.273228,2,2
24,South,East South Central,US,2012-01-01,44.223515,27.548407,2,2
25,South,East South Central,US,2012-02-01,46.161205,29.881369,2,2
26,South,East South Central,US,2012-03-01,59.99025,41.062523,2,2
27,South,East South Central,US,2012-04-01,64.24842,44.52936,2,2
28,South,East South Central,US,2012-05-01,74.034744,54.765865,2,2
29,South,East South Central,US,2012-06-01,80.776474,60.855713,2,2
30,South,East South Central,US,2012-07-01,86.77108,68.06401,2,2
