State,2010 Lung & Bronchus,2010,2011 Lung & Bronchus,2011,2012 Lung & Bronchus,2012,2013 Lung & Bronchus,2013,2014 Lung & Bronchus,2014,2015 Lung & Bronchus,2015,2016 Lung & Bronchus,2016,2017 Lung & Bronchus,2017,2018 Lung & Bronchus,2018,2019 Lung & Bronchus,2019,2020 Lung & Bronchus,2020
Alabama,4160,23640,4240,25530,4440,26440,4550,27080,4160,26770,4150,26150,4220,27020,3880,26160,,,,,,
Alaska,360,2860,380,3090,490,3640,470,3290,430,3750,420,3700,440,3330,450,3600,,,,,,
Arizona,4030,29780,3820,31550,3970,31990,4250,34010,4280,32830,3740,32440,3980,32510,3940,35810,,,,,,
Arkansas,2620,15320,2660,16070,2760,16120,2700,16330,2660,16520,2620,15830,2610,16460,2620,16040,,,,,,
California,18490,157320,17660,16348,18060,165810,18720,171330,18780,171730,18430,172090,18140,173200,18270,176140,,,,,,
Colorado,2270,21340,2250,22390,2400,22820,2550,23410,2540,23810,2560,24540,2520,24730,2420,24330,,,,,,
Connecticut,2640,20750,2680,21440,2720,21530,2780,21180,2730,22070,2870,21970,2770,21700,2540,21900,,,,,,
Delaware,800,4890,780,5130,800,5340,760,5370,790,5320,860,5280,850,5630,850,5660,,,,,,
District of Columbia,360,2760,360,2830,370,2980,320,2920,320,2840,310,28800,300,2910,310,3070,,,,,,
Florida,18390,107000,17150,113400,17860,117580,17960,118320,17960,114560,16810,114040,17360,121240,19000,124740,,,,,,
Georgia,6280,40480,6410,44580,6570,48130,6690,49280,6540,47390,6460,48070,6671,48670,6610,48850,,,,,,
Hawaii,770,6670,780,6710,860,6610,900,6650,890,6640,890,67330,740,6850,700,6540,,,,,,
Idaho,860,7220,870,7520,920,7720,930,7670,960,7990,910,8080,990,8120,980,7310,,,,,,
Illinois,9190,63890,9210,65610,9190,65750,9270,66090,9100,66840,8920,65460,8820,65090,8600,64720,,,,,,
