State Abbreviation,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR),2011(BM),2012(BM),2013(BM),2014(BM),2015(BM),2016(BM),2017(BM),2018(BM),2019(BM),2020(BM),2011(GT),2012(GT),2013(GT),2014(GT),2015(GT),2016(GT),2017(GT),2018(GT),2019(GT),2020(GT),2011(HP),2012(HP),2013(HP),2014(HP),2015(HP),2016(HP),2017(HP),2018(HP),2019(HP),2020(HP),2011(S),2012(S),2013(S),2014(S),2015(S),2016(S),2017(S),2018(S),2019(S),2020(S),2011(W),2012(W),2013(W),2014(W),2015(W),2016(W),2017(W),2018(W),2019(W),2020(W),State,2010_LungBronchus,2010_AllSites,2011_LungBronchus,2011_AllSites,2012_LungBronchus,2012_AllSites,2013_LungBronchus,2013_AllSites,2014_LungBronchus,2014_AllSites,2015_LungBronchus,2015_AllSites,2016_LungBronchus,2016_AllSites,2017_LungBronchus,2017_AllSites,2018_LungBronchus,2018_AllSites,2019_LungBronchus,2019_AllSites,2020_LungBronchus,2020_AllSites
AK,15481,15521,14819,18225,19511,16613,16376,17325,17620,18527,339819,347228,332631,329274,333936,330883,343899,346255,343384,373567,268848,250063,230765,226102,235839,219837,216452,215613,220818,222323,0,0,0,0,0,0,0,0,0,0,16702,17831,18931,22760,23819,26254,24447,24996,23608,25527,3299,2298,3660,6494,7530,9181,7802,8231,7668,8687,214,186,186,186,186,186,186,186,186,186,13066,14988,13696,14632,14613,15311,15135,15141,14446,15465,3,3,3,3,3,14,20,28,40,62,121,356,1386,1445,1487,1562,1305,1410,1269,1127,Alaska,360,2860,380,3090,490,3640,470,3290,430,3750,420,3700,440,3330,450,3600,460,3550,400,3090,400,2960
AL,651032,547004,565051,575912,494311,410168,378890,377152,317180,256687,609288,677380,625869,650570,701582,715033,681208,771194,748731,714871,521337,513993,492294,490328,511742,538953,530370,518687,529319,525878,411822,427975,426488,431368,438728,417334,446097,412584,455865,454930,279972,265964,336863,293890,284365,259513,285081,301170,298545,308209,193453,194992,213553,203628,192270,194485,198072,196226,193284,187599,135,141,141,141,141,141,141,141,141,141,86313,70754,123071,90020,91853,64456,85057,101380,101495,117032,71,77,98,100,101,431,1811,3423,3625,3437,0,0,0,0,0,0,0,0,0,0,Alabama,4160,23640,4240,25530,4440,26440,4550,27080,4160,26770,4150,26150,4220,27020,3880,26160,4190,27830,4150,28950,4230,28570
AR,306119,296732,327099,339214,226889,246437,267591,304145,239798,161980,288906,300572,288045,273009,296826,315617,317530,366939,371388,335441,337961,321213,321254,325319,314414,322808,321210,326432,330550,315440,148531,162353,124816,151428,144716,140370,132736,132996,141750,157349,135133,125377,132370,131625,129264,127831,121635,124834,132189,118123,105562,103550,106124,105604,95088,93707,93283,94536,92332,74385,750,808,808,808,808,808,808,808,808,808,28738,20921,25329,25102,33243,32944,27102,27374,36795,39720,84,98,108,111,124,372,442,2116,2254,3209,0,0,0,0,0,0,0,0,0,0,Arkansas,2620,15320,2660,16070,2760,16120,2700,16330,2660,16520,2620,15830,2610,16460,2620,16040,2720,16130,2690,16580,2760,17200
AZ,459909,420570,454865,447849,385822,323878,334512,331492,257727,156821,293134,339043,340375,315916,365313,373916,334629,400531,484249,513539,552991,538460,543380,543552,557369,576213,583258,590247,607131,544270,327292,334636,328423,338044,340153,338636,338246,325122,333312,329597,129110,114315,119753,139836,149031,162028,172736,179533,174570,177618,29754,27209,27187,33300,35397,37709,37953,40107,40871,35235,345,345,345,345,345,345,345,345,345,345,89135,63918,56432,58179,60874,66144,62908,63524,55213,56316,7393,17784,31499,43562,48205,52832,66282,70733,73207,80075,2483,5059,4291,4451,4210,4998,5248,4824,4933,5647,Arizona,4030,29780,3820,31550,3970,31990,4250,34010,4280,32830,3740,32440,3980,32510,3940,35810,4460,34740,4290,37490,4200,36730
CA,55264,43832,38151,39486,30967,32077,33663,33256,30886,28034,2196252,2456371,2480792,2409574,2384061,2248939,2190994,2209801,2218732,2151068,3174345,3079327,3096230,3083503,3201112,3315378,3392689,3409954,3395439,2688622,383644,193939,187162,177656,193529,197754,187227,190422,168799,169838,953565,818490,897358,903692,911138,1116287,1314777,1213958,1373488,1244897,299705,296354,343657,349289,344065,349253,357861,357070,405324,400214,124092,121269,119556,117214,112818,107867,108579,108375,99263,101789,413488,255384,226643,157197,128612,267078,390080,239556,341319,187416,40964,52660,85168,156446,211736,267428,340183,381368,405353,436394,75317,92821,122335,123546,113906,124661,118074,127590,122228,119083,California,18490,157320,17660,163480,18060,165810,18720,171330,18780,171730,18430,172090,18140,173200,18270,176140,18760,178130,18990,186920,18040,172040
CO,368871,370085,363532,350526,340107,321476,315835,284474,273338,217082,477208,456471,480875,497182,490642,464749,462135,518088,553842,552271,463660,458509,464287,480827,479850,482014,489738,512429,526331,437992,0,0,0,0,0,0,0,0,0,0,107753,108351,122946,131177,133682,158875,162034,165952,178021,194190,33469,32766,36671,37476,41942,44116,44071,44599,47803,41829,741,759,759,759,759,759,759,759,759,759,20235,14247,11572,16829,15090,17557,17470,16607,16116,14628,2782,3782,5214,6045,6267,9505,13966,15326,16769,19618,50526,56798,68731,70068,69625,86939,85769,88661,96575,117357,Colorado,2270,21340,2250,22390,2400,22820,2550,23410,2540,23810,2560,24540,2520,24730,2420,24330,2560,25570,2690,26800,2550,27290
CT,6081,9290,7679,9097,6536,2340,2507,4023,867,67,236016,236260,240102,242227,260925,254652,246532,285991,293149,297582,317397,300595,307661,308514,313997,296001,299249,316551,304773,262428,166669,178959,178465,165677,182083,173363,172570,176496,174730,164157,43360,38975,42952,45472,46764,47868,46758,49572,48862,46777,36656,34711,37487,39085,40975,41535,38478,37912,37386,34502,19,21,21,21,21,21,21,21,21,21,5513,2970,3835,4127,2817,2068,3059,5052,3808,2858,1171,1273,1610,2239,2951,4127,5084,6476,7539,9290,0,0,0,0,0,118,117,112,109,107,Connecticut,2640,20750,2680,21440,2720,21530,2780,21180,2730,22070,2870,21970,2770,21700,2540,21900,2700,21240,2580,21950,2650,20300
DC,48,77,4,48,44,34,30,37,5,0,33389,29389,33725,35302,33654,30160,30607,32623,31603,27984,22226,19354,18790,20118,20423,19489,16915,19017,18555,15492,0,0,0,0,0,0,0,0,0,0,1296,1077,1179,1313,1831,2193,2257,2661,3049,3024,1048,832,900,999,1506,1876,1754,1989,2108,1850,59,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,188,223,257,292,304,295,481,650,920,1152,0,0,0,0,0,0,0,0,0,0,District of Columbia,360,2760,360,2830,370,2980,320,2920,320,2840,310,28800,300,2910,310,3070,310,3260,340,3190,300,3600
DE,17881,17384,18254,10238,7149,8199,4804,4296,2179,1956,81710,104421,100682,107051,107819,113552,103121,99416,93442,94009,114686,108981,101393,103067,109009,110248,112654,119451,120332,104587,0,0,0,0,0,0,0,0,0,0,7844,7116,7619,8064,7744,7597,7912,8035,8544,7722,7031,6068,6137,6397,6037,5985,6083,6067,6441,5605,401,430,430,430,430,430,430,430,430,430,0,0,0,0,0,0,0,0,0,0,365,584,1009,1189,1229,1133,1353,1491,1627,1641,47,35,43,48,48,49,46,47,47,45,Delaware,800,4890,780,5130,800,5340,760,5370,790,5320,860,5280,850,5630,850,5660,890,6110,840,5870,890,6660
FL,552730,482984,505155,557882,466530,426188,407538,327807,233542,180387,1235953,1348390,1245287,1241250,1378089,1414358,1421271,1511134,1578269,1619429,1610356,1549928,1588920,1613839,1695087,1738523,1757690,1843337,1804514,1484594,230369,187259,277169,291474,294099,306658,304840,306461,303946,307315,288638,287354,301827,298010,293757,290005,306615,314801,315365,316100,251217,248455,260909,256189,251293,247497,256365,249306,235146,209583,9799,10056,10056,10056,10056,10056,10056,10056,10056,10056,1769,1432,2425,2010,2275,1611,2010,2116,1868,2031,25853,27410,28437,29755,30133,30842,38184,53322,68295,94430,0,0,0,0,0,0,0,0,0,0,Florida,18390,107000,17150,113400,17860,117580,17960,118320,17960,114560,16810,114040,17360,121240,19000,124740,18710,135170,18560,131470,18150,150500
GA,634756,435546,426184,482657,394665,399279,344273,340152,273109,153179,531596,624338,634635,664808,712580,727336,709671,759205,786904,779340,1016118,956122,975666,948453,997508,971869,1028148,998463,995857,875240,338052,355674,343801,340652,353883,360633,352560,359262,350759,342897,246831,237974,284011,297134,300896,298214,293604,303573,314211,328340,219741,215663,246936,265285,270333,256525,250395,248680,256401,250788,291,315,315,315,315,315,315,315,315,315,26282,21281,35431,29139,27789,31123,22189,33634,35206,40877,516,715,1329,2396,2460,10251,20705,20944,22289,36360,0,0,0,0,0,0,0,0,0,0,Georgia,6280,40480,6410,44580,6570,48130,6690,49280,6540,47390,6460,48070,6671,48670,6610,48850,7160,56920,7070,50450,7240,55190
HI,16080,16572,15306,17241,15632,16431,14948,14367,14179,13281,158,187,197,167,196,162,163,192,228,199,266019,259024,260346,250169,254200,252070,262205,261466,264338,187858,0,0,0,0,0,0,0,0,0,0,20402,21430,25989,27996,29420,32368,32003,31126,29839,31467,11187,10026,11720,11624,12075,13414,10944,10700,9971,8428,2183,2491,2630,2422,2153,2408,2978,1009,8,92,905,1090,747,895,1129,838,608,878,841,866,2816,4223,6090,7553,8356,9810,12573,13062,14308,16888,3311,3599,4802,5502,5707,5898,4899,5476,4710,5192,Hawaii,770,6670,780,6710,860,6610,900,6650,890,6640,890,67330,740,6850,700,6540,830,6280,860,7120,870,6800
IA,463138,422595,402402,401151,348293,298006,300287,325673,266368,183017,277576,266283,306419,311352,302936,317115,376298,431513,433368,396343,415548,392006,415110,424219,415141,424923,409164,418691,430621,404169,54572,45552,55597,43431,54836,49185,54528,51181,54671,30344,353478,370566,389728,406807,429835,452667,473227,478666,518892,556341,239044,228413,232673,241842,252726,257115,264720,273583,274833,244325,1359,1281,1281,1281,1281,1281,1281,1281,1281,1281,8991,7291,7147,8355,8943,8460,9521,8414,7086,8988,34,48,88,268,419,587,905,1290,1603,2071,104050,133533,148538,155061,166466,185224,196800,194097,234088,299676,Iowa,2450,17260,2480,17500,2330,17010,2350,17480,2330,17630,2440,17140,2420,17100,2410,17230,2480,17630,2410,17810,2440,18460
ID,7846,5186,7965,7472,4249,2432,2615,2823,2364,2663,83947,90339,107089,93610,107871,110344,115899,115833,133257,129363,157999,153915,157372,162438,175254,176049,176634,180666,183278,175803,0,0,0,0,0,0,0,0,0,0,177760,156600,140544,155787,154481,153289,174569,180196,171550,157879,32630,32242,34284,41189,49490,43580,46202,48098,49046,42189,2164,2213,1881,2251,2206,2167,2280,2258,2353,2296,130241,104109,80845,85602,81559,83359,98253,100299,91955,83358,29,45,63,64,81,389,4403,5384,5496,5746,12696,17991,23472,26680,21145,23794,23431,24156,22700,24290,Idaho,860,7220,870,7520,920,7720,930,7670,960,7990,910,8080,990,8120,980,7310,1060,8450,1030,8390,990,8540
IL,1052224,969294,1026925,1017855,850430,702467,685000,704574,591909,391150,986310,939024,1063511,1108134,1011357,1045034,1034583,1127424,1180447,1158640,1182982,1140419,1169110,1197140,1245106,1247540,1251487,1254095,1239327,1056447,1002694,1010189,1014926,1023496,1017377,1031331,1016522,1025651,1030996,1047170,233916,242375,268752,278073,270570,276545,286646,277668,293917,297310,168961,164189,171930,177003,165332,172843,168207,163299,158599,146123,1905,2042,2042,2042,2042,2042,2042,2042,2042,2042,1365,1058,1148,1258,1159,1226,1152,1333,1102,1183,1319,1558,1799,1892,1937,2033,2284,2737,3499,5709,60367,73528,91834,95878,100100,98402,112962,108257,128676,142253,Illinois,9190,63890,9210,65610,9190,65750,9270,66090,9100,66840,8920,65460,8820,65090,8600,64720,9220,66330,9130,685600,9210,71990
IN,1333442,1193465,1198611,1221492,1007472,948386,929271,985668,821545,669310,635117,654528,680051,723942,735055,779945,747919,890433,934151,873505,710963,683759,721544,734901,750409,726396,700249,703718,710201,652153,0,0,0,0,0,0,0,0,0,0,156049,144690,157896,162947,173327,183792,183807,190075,187427,182401,115492,105189,115856,120323,121363,127609,126448,130245,121029,115495,4499,4647,4647,4647,4647,4647,4647,4647,4647,4647,3972,4125,3692,3529,3551,3934,2818,2026,2278,2374,165,182,489,1205,1713,2390,3030,3690,4157,4763,31921,30547,33213,33244,42054,45212,46863,49467,55316,55123,Indiana,5430,33020,5520,34050,5460,35060,5500,35550,5540,35560,5510,35620,5520,35180,5540,36440,5840,37250,5500,35280,5700,37940
