"Year of diagnosis","Rural-Urban Continuum Code","Count"
0,0,7175018
0,1,4795718
0,2,1704535
0,3,674765
0,4,1030536
0,5,605548
0,6,424988
0,7,8828
0,8,1787
1,0,288025
1,1,194267
1,2,63916
1,3,29842
1,4,44261
1,5,27033
1,6,17228
1,7,291
1,8,76
2,0,299208
2,1,202255
2,2,66401
2,3,30552
2,4,45941
2,5,27977
2,6,17964
2,7,324
2,8,119
3,0,301832
3,1,202995
3,2,67301
3,3,31536
3,4,46900
3,5,28690
3,6,18210
3,7,324
3,8,103
4,0,299525
4,1,200420
4,2,67630
4,3,31475
4,4,46604
4,5,28287
4,6,18317
4,7,338
4,8,117
5,0,306916
5,1,205561
5,2,69384
5,3,31971
5,4,47476
5,5,28801
5,6,18675
5,7,401
5,8,78
6,0,310330
6,1,207818
6,2,69828
6,3,32684
6,4,47749
6,5,29360
6,6,18389
6,7,384
6,8,60
7,0,317531
7,1,211057
7,2,72946
7,3,33528
7,4,49480
7,5,30233
7,6,19247
7,7,356
7,8,140
8,0,329703
8,1,219584
8,2,75176
8,3,34943
8,4,51034
8,5,31288
8,6,19746
8,7,362
8,8,135
9,0,337930
9,1,225202
9,2,82928
9,3,29800
9,4,47665
9,5,27163
9,6,20502
9,7,363
9,8,132
10,0,344572
10,1,229874
10,2,84364
10,3,30334
10,4,47954
10,5,27438
10,6,20516
10,7,429
10,8,180
11,0,345340
11,1,230590
11,2,84343
11,3,30407
11,4,48152
11,5,27498
11,6,20654
11,7,440
11,8,143
12,0,349268
12,1,233846
12,2,84982
12,3,30440
12,4,48882
12,5,28091
12,6,20791
12,7,422
12,8,146
13,0,351102
13,1,234645
13,2,85513
13,3,30944
13,4,48715
13,5,27894
13,6,20821
13,7,452
13,8,54
14,0,355164
14,1,237837
14,2,86149
14,3,31178
14,4,48875
14,5,28099
14,6,20776
14,7,461
14,8,25
15,0,361741
15,1,241422
15,2,88110
15,3,32209
15,4,50225
15,5,28796
15,6,21429
15,7,419
15,8,38
16,0,370516
16,1,248221
16,2,89629
16,3,32666
16,4,51436
16,5,29356
16,6,22080
16,7,496
16,8,44
17,0,376345
17,1,251692
17,2,91275
17,3,33378
17,4,51454
17,5,29576
17,6,21878
17,7,494
17,8,13
18,0,383231
18,1,255527
18,2,93448
18,3,34256
18,4,51975
18,5,29888
18,6,22087
18,7,521
18,8,17
19,0,387324
19,1,257908
19,2,94829
19,3,34587
19,4,52343
19,5,30174
19,6,22169
19,7,513
19,8,60
20,0,397417
20,1,264864
20,2,97256
20,3,35297
20,4,54260
20,5,31345
20,6,22915
20,7,542
20,8,41
21,0,361998
21,1,240133
21,2,89127
21,3,32738
21,4,49155
21,5,28561
21,6,20594
21,7,496
21,8,66
