Year of diagnosis,Rural-Urban Continuum Code,Count
2000-2020,0,7175018
2000-2020,1,4795718
2000-2020,2,1704535
2000-2020,3,674765
2000-2020,4,1030536
2000-2020,5,605548
2000-2020,6,424988
2000-2020,7,8828
2000-2020,8,1787
2000,0,288025
2000,1,194267
2000,2,63916
2000,3,29842
2000,4,44261
2000,5,27033
2000,6,17228
2000,7,291
2000,8,76
2001,0,299208
2001,1,202255
2001,2,66401
2001,3,30552
2001,4,45941
2001,5,27977
2001,6,17964
2001,7,324
2001,8,119
2002,0,301832
2002,1,202995
2002,2,67301
2002,3,31536
2002,4,46900
2002,5,28690
2002,6,18210
2002,7,324
2002,8,103
2003,0,299525
2003,1,200420
2003,2,67630
2003,3,31475
2003,4,46604
2003,5,28287
2003,6,18317
2003,7,338
2003,8,117
2004,0,306916
2004,1,205561
2004,2,69384
2004,3,31971
2004,4,47476
2004,5,28801
2004,6,18675
2004,7,401
2004,8,78
2005,0,310330
2005,1,207818
2005,2,69828
2005,3,32684
2005,4,47749
2005,5,29360
2005,6,18389
2005,7,384
2005,8,60
2006,0,317531
2006,1,211057
2006,2,72946
2006,3,33528
2006,4,49480
2006,5,30233
2006,6,19247
2006,7,356
2006,8,140
2007,0,329703
2007,1,219584
2007,2,75176
2007,3,34943
2007,4,51034
2007,5,31288
2007,6,19746
2007,7,362
2007,8,135
2008,0,337930
2008,1,225202
2008,2,82928
2008,3,29800
2008,4,47665
2008,5,27163
2008,6,20502
2008,7,363
2008,8,132
2009,0,344572
2009,1,229874
2009,2,84364
2009,3,30334
2009,4,47954
2009,5,27438
2009,6,20516
2009,7,429
2009,8,180
2010,0,345340
2010,1,230590
2010,2,84343
2010,3,30407
2010,4,48152
2010,5,27498
2010,6,20654
2010,7,440
2010,8,143
2011,0,349268
2011,1,233846
2011,2,84982
2011,3,30440
2011,4,48882
2011,5,28091
2011,6,20791
2011,7,422
2011,8,146
2012,0,351102
2012,1,234645
2012,2,85513
2012,3,30944
2012,4,48715
2012,5,27894
2012,6,20821
2012,7,452
2012,8,54
2013,0,355164
2013,1,237837
2013,2,86149
2013,3,31178
2013,4,48875
2013,5,28099
2013,6,20776
2013,7,461
2013,8,25
2014,0,361741
2014,1,241422
2014,2,88110
2014,3,32209
2014,4,50225
2014,5,28796
2014,6,21429
2014,7,419
2014,8,38
2015,0,370516
2015,1,248221
2015,2,89629
2015,3,32666
2015,4,51436
2015,5,29356
2015,6,22080
2015,7,496
2015,8,44
2016,0,376345
2016,1,251692
2016,2,91275
2016,3,33378
2016,4,51454
2016,5,29576
2016,6,21878
2016,7,494
2016,8,13
2017,0,383231
2017,1,255527
2017,2,93448
2017,3,34256
2017,4,51975
2017,5,29888
2017,6,22087
2017,7,521
2017,8,17
2018,0,387324
2018,1,257908
2018,2,94829
2018,3,34587
2018,4,52343
2018,5,30174
2018,6,22169
2018,7,513
2018,8,60
2019,0,397417
2019,1,264864
2019,2,97256
2019,3,35297
2019,4,54260
2019,5,31345
2019,6,22915
2019,7,542
2019,8,41
2020,0,361998
2020,1,240133
2020,2,89127
2020,3,32738
2020,4,49155
2020,5,28561
2020,6,20594
2020,7,496
2020,8,66
