State_Code,State,Type,Year,Type_Detail,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Consumption (billion BTU),2010,Consumption,1931522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Consumption (billion BTU),2011,Consumption,1905207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Consumption (billion BTU),2012,Consumption,1879716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Consumption (billion BTU),2013,Consumption,1919365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Consumption (billion BTU),2014,Consumption,1958221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Production (billion BTU),2010,Production,1419613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Production (billion BTU),2011,Production,1400108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Production (billion BTU),2012,Production,1433370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Production (billion BTU),2013,Production,1463647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Production (billion BTU),2014,Production,1353725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Expenditures (million USD),2010,Expenditures,21630.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Expenditures (million USD),2011,Expenditures,24447.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Expenditures (million USD),2012,Expenditures,24192.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,Total Energy Expenditures (million USD),2013,Expenditures,24127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
