,latitude,longitude,State,region,sub-region,country,month,year,max_temp_avg,min_temp_avg,daylight_hr_avg,rain_avg,snowfall_avg
0,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2000,36.555183,21.022242,12.424892,0.08041297,0.087107904
1,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2000,47.41932,29.716642,12.424892,0.08041297,0.087107904
30,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2000,55.03142,36.18818,12.424892,0.08041297,0.087107904
61,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2000,61.308537,41.84224,12.424892,0.08041297,0.087107904
91,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,5,2000,72.299355,53.421158,12.424892,0.08041297,0.087107904
122,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,6,2000,78.05753,60.30042,12.424892,0.08041297,0.087107904
152,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,7,2000,81.33494,63.69983,12.424892,0.08041297,0.087107904
183,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,8,2000,82.16628,64.49469,12.424892,0.08041297,0.087107904
214,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,9,2000,74.60401,56.78918,12.424892,0.08041297,0.087107904
244,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,10,2000,64.888504,47.52146,12.424892,0.08041297,0.087107904
275,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,11,2000,47.174004,32.864475,12.424892,0.08041297,0.087107904
305,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,12,2000,35.695656,20.450705,12.424892,0.08041297,0.087107904
336,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2001,38.54042,22.985334,12.206055,0.07817609,0.099702634
367,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2001,42.63056,25.690897,12.206055,0.07817609,0.099702634
395,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2001,47.46306,30.873058,12.206055,0.07817609,0.099702634
426,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2001,62.159008,42.923653,12.206055,0.07817609,0.099702634
456,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,5,2001,72.15966,52.490417,12.206055,0.07817609,0.099702634
487,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,6,2001,78.2293,59.957005,12.206055,0.07817609,0.099702634
517,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,7,2001,82.24114,64.41397,12.206055,0.07817609,0.099702634
548,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,8,2001,83.090416,65.348976,12.206055,0.07817609,0.099702634
579,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,9,2001,74.356125,56.681652,12.206055,0.07817609,0.099702634
609,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,10,2001,64.119316,46.510685,12.206055,0.07817609,0.099702634
640,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,11,2001,57.265125,41.368126,12.206055,0.07817609,0.099702634
670,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,12,2001,44.68894,30.765297,12.206055,0.07817609,0.099702634
701,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2002,42.987423,27.855295,12.206045,0.08209914,0.10655575
732,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2002,45.689175,27.61449,12.206045,0.08209914,0.10655575
760,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2002,50.26501,31.089945,12.206045,0.08209914,0.10655575
791,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2002,63.117653,44.044888,12.206045,0.08209914,0.10655575
821,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,5,2002,69.158066,49.5478,12.206045,0.08209914,0.10655575
852,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,6,2002,79.68977,60.99671,12.206045,0.08209914,0.10655575
882,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,7,2002,84.88,66.551994,12.206045,0.08209914,0.10655575
913,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,8,2002,83.132034,64.69609,12.206045,0.08209914,0.10655575
944,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,9,2002,76.78012,59.240772,12.206045,0.08209914,0.10655575
974,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,10,2002,60.559223,46.43082,12.206045,0.08209914,0.10655575
1005,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,11,2002,50.192886,35.36583,12.206045,0.08209914,0.10655575
1035,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,12,2002,41.974876,27.780153,12.206045,0.08209914,0.10655575
1066,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,1,2003,38.037025,22.604784,12.206116,0.090982,0.1093805
1097,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,2,2003,39.549446,22.992975,12.206116,0.090982,0.1093805
1125,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,3,2003,52.01173,32.734993,12.206116,0.090982,0.1093805
1156,32.794376373291016,-86.80929565429688,Alabama,South,East South Central,US,4,2003,60.939713,41.692886,12.206116,0.090982,0.1093805
