location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,32.794376,-86.809296,127.0,0,GMT,GMT
1,61.335674,-152.25728,2541.0,0,GMT,GMT
2,33.70826,-111.354034,1171.0,0,GMT,GMT
3,34.973637,-92.40152,84.0,0,GMT,GMT
4,36.098415,-119.64981,54.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,31.2,17.5
0,2018-01-02,36.7,17.9
0,2018-01-03,40.0,25.8
0,2018-01-04,36.6,22.9
0,2018-01-05,42.9,21.2
0,2018-01-06,45.1,26.3
0,2018-01-07,45.7,28.9
0,2018-01-08,47.7,35.7
0,2018-01-09,62.8,47.6
0,2018-01-10,67.5,53.4
0,2018-01-11,69.8,60.0
0,2018-01-12,65.9,35.8
0,2018-01-13,39.4,25.0
0,2018-01-14,42.3,21.4
0,2018-01-15,50.1,28.7
0,2018-01-16,40.9,30.2
0,2018-01-17,30.6,12.9
0,2018-01-18,42.6,17.4
0,2018-01-19,52.6,22.9
0,2018-01-20,58.2,34.7
0,2018-01-21,64.3,39.3
0,2018-01-22,63.6,50.5
0,2018-01-23,60.1,41.3
0,2018-01-24,53.5,33.0
0,2018-01-25,56.2,32.5
0,2018-01-26,57.1,38.4
0,2018-01-27,54.9,51.0
0,2018-01-28,61.8,53.6
0,2018-01-29,59.1,45.5
0,2018-01-30,51.5,31.1
0,2018-01-31,55.5,31.4
0,2018-02-01,65.2,46.5
0,2018-02-02,58.5,33.6
0,2018-02-03,51.8,29.8
0,2018-02-04,57.8,43.7
0,2018-02-05,56.9,37.0
0,2018-02-06,68.4,45.7
0,2018-02-07,63.2,46.7
0,2018-02-08,57.6,35.3
0,2018-02-09,62.7,42.9
0,2018-02-10,67.2,54.2
0,2018-02-11,67.0,62.6
0,2018-02-12,64.9,45.1
0,2018-02-13,67.4,47.2
0,2018-02-14,64.6,53.0
0,2018-02-15,74.0,61.8
0,2018-02-16,71.2,61.8
0,2018-02-17,73.9,54.5
0,2018-02-18,68.6,50.7
0,2018-02-19,76.2,58.9
0,2018-02-20,75.9,59.8
0,2018-02-21,78.9,64.5
0,2018-02-22,78.8,64.0
0,2018-02-23,76.6,61.6
0,2018-02-24,76.4,63.2
0,2018-02-25,71.9,53.2
0,2018-02-26,64.9,55.3
0,2018-02-27,67.9,45.9
0,2018-02-28,76.4,54.1
0,2018-03-01,72.6,56.9
0,2018-03-02,62.2,45.6
0,2018-03-03,64.1,40.5
0,2018-03-04,66.3,42.0
0,2018-03-05,69.6,50.1
0,2018-03-06,67.0,54.9
0,2018-03-07,57.7,40.1
0,2018-03-08,51.9,35.8
0,2018-03-09,60.0,32.4
0,2018-03-10,69.2,43.8
0,2018-03-11,62.7,53.5
0,2018-03-12,58.6,39.2
0,2018-03-13,56.6,36.6
0,2018-03-14,54.0,35.8
0,2018-03-15,64.2,32.7
0,2018-03-16,66.8,43.3
0,2018-03-17,75.3,56.6
0,2018-03-18,75.3,61.0
0,2018-03-19,74.0,58.5
0,2018-03-20,67.4,52.5
0,2018-03-21,54.2,38.7
0,2018-03-22,60.0,36.8
0,2018-03-23,66.6,41.1
0,2018-03-24,74.9,50.0
0,2018-03-25,76.2,62.0
0,2018-03-26,66.7,50.5
0,2018-03-27,70.7,48.1
0,2018-03-28,76.7,58.6
0,2018-03-29,73.5,60.3
0,2018-03-30,67.0,51.3
0,2018-03-31,68.1,44.2
0,2018-04-01,75.6,47.4
0,2018-04-02,75.9,53.0
0,2018-04-03,75.9,60.5
0,2018-04-04,71.9,49.6
0,2018-04-05,66.6,40.1
0,2018-04-06,72.7,48.8
0,2018-04-07,63.3,47.8
0,2018-04-08,61.8,34.9
0,2018-04-09,66.3,54.3
0,2018-04-10,69.4,50.3
0,2018-04-11,70.3,43.9
0,2018-04-12,75.1,50.4
0,2018-04-13,78.2,52.5
0,2018-04-14,78.8,64.0
0,2018-04-15,67.8,48.6
0,2018-04-16,57.4,38.3
0,2018-04-17,73.9,40.2
0,2018-04-18,77.7,53.5
0,2018-04-19,72.0,59.7
0,2018-04-20,68.3,43.0
0,2018-04-21,72.1,49.4
0,2018-04-22,68.6,58.2
0,2018-04-23,68.5,58.1
0,2018-04-24,67.2,54.4
0,2018-04-25,73.8,53.0
0,2018-04-26,69.9,56.1
0,2018-04-27,69.3,50.3
0,2018-04-28,76.0,52.0
0,2018-04-29,69.5,50.2
0,2018-04-30,75.0,46.5
0,2018-05-01,79.9,54.4
0,2018-05-02,82.3,58.9
0,2018-05-03,82.0,59.4
0,2018-05-04,82.7,61.9
0,2018-05-05,77.5,63.6
0,2018-05-06,79.9,57.2
0,2018-05-07,81.6,58.6
0,2018-05-08,85.7,60.1
0,2018-05-09,87.5,60.8
0,2018-05-10,87.5,62.7
0,2018-05-11,88.9,63.4
0,2018-05-12,90.9,62.4
0,2018-05-13,91.5,64.1
0,2018-05-14,92.2,68.6
0,2018-05-15,87.6,67.7
0,2018-05-16,85.9,67.3
0,2018-05-17,85.4,66.9
0,2018-05-18,81.1,66.3
0,2018-05-19,85.8,66.6
0,2018-05-20,90.0,68.3
0,2018-05-21,81.6,65.8
0,2018-05-22,80.5,68.7
0,2018-05-23,85.2,67.2
0,2018-05-24,82.8,69.4
0,2018-05-25,83.2,67.7
0,2018-05-26,85.2,69.9
0,2018-05-27,84.7,67.4
0,2018-05-28,82.0,67.2
0,2018-05-29,79.4,69.4
0,2018-05-30,84.4,70.2
0,2018-05-31,83.6,70.4
0,2018-06-01,84.8,71.6
0,2018-06-02,86.2,71.4
0,2018-06-03,91.1,72.3
0,2018-06-04,84.4,64.2
0,2018-06-05,81.4,64.5
0,2018-06-06,88.2,60.5
0,2018-06-07,89.3,65.3
0,2018-06-08,92.2,67.5
0,2018-06-09,90.8,71.6
0,2018-06-10,88.0,70.7
0,2018-06-11,88.0,70.3
0,2018-06-12,86.7,69.0
0,2018-06-13,84.1,70.8
0,2018-06-14,81.5,70.4
0,2018-06-15,84.2,70.7
0,2018-06-16,89.3,72.1
0,2018-06-17,87.6,72.2
0,2018-06-18,91.5,69.7
0,2018-06-19,91.2,73.4
0,2018-06-20,91.7,73.4
0,2018-06-21,86.9,74.2
0,2018-06-22,87.0,72.6
0,2018-06-23,85.8,73.7
0,2018-06-24,92.4,74.6
0,2018-06-25,90.2,75.1
0,2018-06-26,92.7,73.1
0,2018-06-27,91.1,75.3
0,2018-06-28,89.0,75.2
0,2018-06-29,90.6,68.1
0,2018-06-30,89.6,73.9
0,2018-07-01,91.2,73.5
0,2018-07-02,86.4,73.6
0,2018-07-03,91.8,73.8
0,2018-07-04,91.9,74.4
0,2018-07-05,91.5,73.4
0,2018-07-06,92.3,73.9
0,2018-07-07,90.2,71.9
0,2018-07-08,86.7,73.7
0,2018-07-09,90.2,72.4
0,2018-07-10,92.5,72.4
0,2018-07-11,91.8,73.5
0,2018-07-12,95.2,74.3
0,2018-07-13,92.4,74.9
0,2018-07-14,85.9,75.3
0,2018-07-15,87.7,73.1
0,2018-07-16,86.7,72.8
0,2018-07-17,90.5,72.3
0,2018-07-18,91.8,73.2
0,2018-07-19,92.0,73.1
0,2018-07-20,93.9,72.2
0,2018-07-21,91.3,76.7
0,2018-07-22,90.3,72.6
0,2018-07-23,85.2,70.6
0,2018-07-24,87.2,70.0
0,2018-07-25,89.1,70.9
0,2018-07-26,93.3,71.4
0,2018-07-27,93.8,69.7
0,2018-07-28,93.9,73.0
0,2018-07-29,93.0,71.9
0,2018-07-30,88.0,73.5
0,2018-07-31,82.1,73.3
0,2018-08-01,77.0,70.1
0,2018-08-02,81.6,70.8
0,2018-08-03,85.6,70.3
0,2018-08-04,86.3,71.9
0,2018-08-05,89.2,72.0
0,2018-08-06,88.3,73.2
0,2018-08-07,89.9,73.9
0,2018-08-08,90.9,74.4
0,2018-08-09,86.9,74.2
0,2018-08-10,88.5,70.4
0,2018-08-11,89.3,70.8
0,2018-08-12,93.8,72.9
0,2018-08-13,91.5,73.8
0,2018-08-14,92.1,72.1
0,2018-08-15,91.9,72.6
0,2018-08-16,90.7,73.0
0,2018-08-17,85.3,72.7
0,2018-08-18,85.1,73.5
0,2018-08-19,83.4,73.4
0,2018-08-20,82.2,73.5
0,2018-08-21,89.8,72.8
0,2018-08-22,86.7,70.0
0,2018-08-23,87.1,68.0
0,2018-08-24,85.0,68.4
0,2018-08-25,88.0,71.5
0,2018-08-26,90.1,71.4
0,2018-08-27,90.1,72.1
0,2018-08-28,91.5,73.6
0,2018-08-29,86.7,73.3
0,2018-08-30,86.4,71.5
0,2018-08-31,83.1,71.4
0,2018-09-01,89.7,71.0
0,2018-09-02,89.9,73.9
0,2018-09-03,90.8,73.9
0,2018-09-04,88.9,73.6
0,2018-09-05,81.7,72.6
0,2018-09-06,88.4,72.7
0,2018-09-07,90.7,72.4
0,2018-09-08,89.3,71.3
0,2018-09-09,89.9,72.3
0,2018-09-10,84.7,72.0
0,2018-09-11,87.1,69.5
0,2018-09-12,90.7,71.8
0,2018-09-13,87.4,74.4
0,2018-09-14,92.8,72.9
0,2018-09-15,96.6,75.2
0,2018-09-16,94.0,74.0
0,2018-09-17,93.9,73.5
0,2018-09-18,91.4,74.1
0,2018-09-19,94.3,72.0
0,2018-09-20,93.2,74.3
0,2018-09-21,91.7,72.5
0,2018-09-22,90.4,73.5
0,2018-09-23,89.6,72.4
0,2018-09-24,87.2,72.8
0,2018-09-25,89.9,72.7
0,2018-09-26,80.4,72.7
0,2018-09-27,81.7,70.4
0,2018-09-28,83.2,68.8
0,2018-09-29,84.4,67.5
0,2018-09-30,86.9,70.6
0,2018-10-01,83.1,71.8
0,2018-10-02,87.9,69.2
0,2018-10-03,88.5,69.7
0,2018-10-04,87.7,70.0
0,2018-10-05,90.9,70.1
0,2018-10-06,89.4,70.4
0,2018-10-07,89.8,70.8
0,2018-10-08,87.8,72.1
0,2018-10-09,85.7,73.6
0,2018-10-10,79.2,74.0
0,2018-10-11,78.4,69.0
0,2018-10-12,76.0,53.6
0,2018-10-13,79.1,56.6
0,2018-10-14,84.8,63.6
0,2018-10-15,84.3,66.9
0,2018-10-16,81.0,68.2
0,2018-10-17,76.7,62.5
0,2018-10-18,74.2,57.8
0,2018-10-19,81.7,60.2
0,2018-10-20,74.4,64.6
0,2018-10-21,62.7,47.8
0,2018-10-22,68.9,45.9
0,2018-10-23,70.7,54.9
0,2018-10-24,75.3,51.2
0,2018-10-25,62.8,51.3
0,2018-10-26,64.1,56.8
0,2018-10-27,65.5,52.3
0,2018-10-28,77.3,49.1
0,2018-10-29,73.8,56.7
0,2018-10-30,76.0,53.7
0,2018-10-31,80.5,61.0
0,2018-11-01,73.0,64.8
0,2018-11-02,64.5,52.0
0,2018-11-03,68.1,46.2
0,2018-11-04,68.8,48.8
0,2018-11-05,73.3,56.7
0,2018-11-06,73.5,60.7
0,2018-11-07,74.4,58.2
0,2018-11-08,69.6,55.9
0,2018-11-09,64.9,51.2
0,2018-11-10,49.2,37.6
0,2018-11-11,60.6,37.1
0,2018-11-12,54.4,47.6
0,2018-11-13,52.8,44.5
0,2018-11-14,48.1,40.5
0,2018-11-15,44.0,30.5
0,2018-11-16,58.0,30.8
0,2018-11-17,64.5,36.8
0,2018-11-18,64.8,39.3
0,2018-11-19,66.6,40.9
0,2018-11-20,56.3,47.9
0,2018-11-21,55.0,36.0
0,2018-11-22,57.3,39.6
0,2018-11-23,53.6,43.3
0,2018-11-24,66.6,43.5
0,2018-11-25,60.9,44.0
0,2018-11-26,60.9,37.7
0,2018-11-27,42.9,30.0
0,2018-11-28,50.8,25.9
0,2018-11-29,61.7,38.5
0,2018-11-30,65.0,55.1
0,2018-12-01,70.2,55.4
0,2018-12-02,73.2,55.0
0,2018-12-03,62.1,51.4
0,2018-12-04,52.1,37.6
0,2018-12-05,44.4,32.0
0,2018-12-06,49.6,29.3
0,2018-12-07,46.5,38.6
0,2018-12-08,45.8,43.4
0,2018-12-09,46.5,41.5
0,2018-12-10,45.0,38.5
0,2018-12-11,51.6,30.7
0,2018-12-12,53.7,31.1
0,2018-12-13,54.9,45.3
0,2018-12-14,63.7,52.8
0,2018-12-15,59.0,46.7
0,2018-12-16,60.1,43.9
0,2018-12-17,62.5,42.6
0,2018-12-18,61.3,38.9
0,2018-12-19,58.9,44.0
0,2018-12-20,57.2,49.2
0,2018-12-21,52.6,41.0
0,2018-12-22,54.9,31.7
0,2018-12-23,63.7,41.1
0,2018-12-24,57.1,38.4
0,2018-12-25,57.3,37.1
0,2018-12-26,61.2,44.3
0,2018-12-27,61.3,49.7
0,2018-12-28,66.5,59.0
0,2018-12-29,60.9,46.3
0,2018-12-30,60.2,51.8
0,2018-12-31,72.9,56.7
0,2019-01-01,68.8,58.8
0,2019-01-02,58.7,52.4
0,2019-01-03,56.6,51.1
0,2019-01-04,62.0,48.2
0,2019-01-05,59.9,40.7
0,2019-01-06,64.5,40.7
0,2019-01-07,65.0,44.7
0,2019-01-08,68.3,51.1
0,2019-01-09,60.9,42.9
0,2019-01-10,47.1,33.2
0,2019-01-11,52.5,31.0
0,2019-01-12,53.5,41.3
0,2019-01-13,54.9,46.6
0,2019-01-14,46.4,40.9
0,2019-01-15,49.8,32.2
0,2019-01-16,54.6,30.8
0,2019-01-17,50.8,38.9
0,2019-01-18,62.7,43.3
0,2019-01-19,64.8,52.8
0,2019-01-20,54.6,33.1
0,2019-01-21,44.4,26.1
0,2019-01-22,51.7,34.0
0,2019-01-23,65.8,48.7
0,2019-01-24,53.9,34.8
0,2019-01-25,49.7,30.6
0,2019-01-26,53.0,28.9
0,2019-01-27,55.9,36.2
0,2019-01-28,59.1,35.2
0,2019-01-29,53.2,31.9
0,2019-01-30,44.3,23.5
0,2019-01-31,53.4,27.2
0,2019-02-01,61.1,35.6
0,2019-02-02,64.5,43.8
0,2019-02-03,69.0,48.2
0,2019-02-04,65.4,52.5
0,2019-02-05,73.4,59.7
0,2019-02-06,74.7,63.1
0,2019-02-07,78.0,65.0
0,2019-02-08,73.0,45.2
0,2019-02-09,52.6,38.4
0,2019-02-10,60.0,44.5
0,2019-02-11,61.8,49.1
0,2019-02-12,66.3,54.6
0,2019-02-13,57.8,37.4
0,2019-02-14,59.6,41.1
0,2019-02-15,65.4,51.7
0,2019-02-16,65.5,55.2
0,2019-02-17,73.0,48.4
0,2019-02-18,68.8,45.0
0,2019-02-19,50.0,42.9
0,2019-02-20,68.5,47.4
0,2019-02-21,71.3,57.6
0,2019-02-22,77.0,59.1
0,2019-02-23,77.1,58.9
0,2019-02-24,74.2,56.0
0,2019-02-25,59.9,39.3
0,2019-02-26,68.1,47.1
0,2019-02-27,70.1,51.1
0,2019-02-28,72.0,56.7
0,2019-03-01,69.1,60.0
0,2019-03-02,65.8,49.9
0,2019-03-03,66.0,52.1
0,2019-03-04,48.8,36.5
0,2019-03-05,45.3,28.1
0,2019-03-06,49.1,25.0
0,2019-03-07,56.8,28.9
0,2019-03-08,72.2,48.4
0,2019-03-09,73.2,56.2
0,2019-03-10,71.1,60.6
0,2019-03-11,64.8,53.1
0,2019-03-12,71.1,49.5
0,2019-03-13,73.2,55.9
0,2019-03-14,78.2,63.6
0,2019-03-15,73.0,53.7
0,2019-03-16,57.5,45.4
0,2019-03-17,62.7,42.0
0,2019-03-18,61.7,42.8
0,2019-03-19,59.6,38.3
0,2019-03-20,63.4,41.2
0,2019-03-21,62.6,43.3
0,2019-03-22,65.7,39.3
0,2019-03-23,69.6,44.0
0,2019-03-24,71.6,45.4
0,2019-03-25,71.3,53.3
0,2019-03-26,61.9,49.0
0,2019-03-27,66.4,44.2
0,2019-03-28,67.9,43.6
0,2019-03-29,72.7,48.2
0,2019-03-30,74.8,54.6
0,2019-03-31,69.3,43.3
0,2019-04-01,62.6,38.1
0,2019-04-02,65.2,41.5
0,2019-04-03,69.9,43.8
0,2019-04-04,69.4,50.0
0,2019-04-05,76.6,55.6
0,2019-04-06,74.3,59.6
0,2019-04-07,80.3,62.0
0,2019-04-08,74.9,65.8
0,2019-04-09,75.2,61.3
0,2019-04-10,82.5,56.7
0,2019-04-11,81.6,61.8
0,2019-04-12,78.3,62.3
0,2019-04-13,79.2,62.3
0,2019-04-14,77.1,59.1
0,2019-04-15,68.1,43.1
0,2019-04-16,74.8,49.7
0,2019-04-17,77.6,55.4
0,2019-04-18,80.4,61.3
0,2019-04-19,72.9,51.4
0,2019-04-20,62.5,45.9
0,2019-04-21,74.5,44.8
0,2019-04-22,79.6,48.3
0,2019-04-23,81.1,52.8
0,2019-04-24,81.0,59.1
0,2019-04-25,76.3,60.4
0,2019-04-26,73.9,60.4
0,2019-04-27,77.0,51.6
0,2019-04-28,83.3,57.0
0,2019-04-29,84.8,58.3
0,2019-04-30,86.5,61.3
0,2019-05-01,86.6,63.5
0,2019-05-02,84.6,65.9
0,2019-05-03,87.3,64.7
0,2019-05-04,80.1,64.6
0,2019-05-05,77.6,64.6
0,2019-05-06,82.4,55.0
0,2019-05-07,87.2,59.1
0,2019-05-08,89.4,64.3
0,2019-05-09,86.1,68.9
0,2019-05-10,80.9,64.3
0,2019-05-11,77.2,67.9
0,2019-05-12,76.2,66.0
0,2019-05-13,75.2,59.3
0,2019-05-14,73.8,53.5
0,2019-05-15,79.7,53.7
0,2019-05-16,85.6,61.7
0,2019-05-17,85.4,63.3
0,2019-05-18,86.5,64.9
0,2019-05-19,88.3,64.6
0,2019-05-20,87.0,67.6
0,2019-05-21,91.4,65.9
0,2019-05-22,91.1,65.9
0,2019-05-23,89.7,68.1
0,2019-05-24,91.9,70.4
0,2019-05-25,95.3,69.1
0,2019-05-26,96.1,68.5
0,2019-05-27,94.6,70.8
0,2019-05-28,95.1,68.1
0,2019-05-29,94.7,68.9
0,2019-05-30,91.6,68.6
0,2019-05-31,92.2,70.7
0,2019-06-01,91.6,67.7
0,2019-06-02,92.8,66.6
0,2019-06-03,93.4,70.1
0,2019-06-04,93.3,70.4
0,2019-06-05,86.7,74.3
0,2019-06-06,78.8,70.7
0,2019-06-07,85.0,72.6
0,2019-06-08,84.7,69.8
0,2019-06-09,84.3,69.9
0,2019-06-10,85.8,68.7
0,2019-06-11,85.1,66.4
0,2019-06-12,82.6,67.4
0,2019-06-13,81.9,62.7
0,2019-06-14,82.7,60.9
0,2019-06-15,87.9,65.3
0,2019-06-16,88.0,70.8
0,2019-06-17,92.6,71.0
0,2019-06-18,83.5,71.8
0,2019-06-19,86.1,72.4
0,2019-06-20,88.3,74.6
0,2019-06-21,91.5,73.5
0,2019-06-22,91.2,71.3
0,2019-06-23,92.0,74.4
0,2019-06-24,93.3,74.5
0,2019-06-25,90.1,69.8
0,2019-06-26,88.1,74.0
0,2019-06-27,91.6,70.6
0,2019-06-28,90.1,69.7
0,2019-06-29,91.9,72.0
0,2019-06-30,89.2,72.3
0,2019-07-01,94.2,70.9
0,2019-07-02,93.5,74.1
0,2019-07-03,90.1,75.8
0,2019-07-04,93.0,72.7
0,2019-07-05,94.8,75.2
0,2019-07-06,95.6,74.5
0,2019-07-07,91.8,74.4
0,2019-07-08,94.6,74.3
0,2019-07-09,96.8,76.2
0,2019-07-10,91.7,76.9
0,2019-07-11,91.3,75.9
0,2019-07-12,91.9,75.3
0,2019-07-13,84.5,74.1
0,2019-07-14,87.8,73.1
0,2019-07-15,85.2,73.6
0,2019-07-16,91.5,73.5
0,2019-07-17,92.2,74.5
0,2019-07-18,94.2,74.6
0,2019-07-19,87.9,74.6
0,2019-07-20,80.7,73.8
0,2019-07-21,87.7,72.9
0,2019-07-22,89.8,72.4
0,2019-07-23,85.3,73.4
0,2019-07-24,86.6,67.6
0,2019-07-25,85.9,65.7
0,2019-07-26,89.2,70.8
0,2019-07-27,88.8,69.2
0,2019-07-28,90.1,70.3
0,2019-07-29,91.2,70.7
0,2019-07-30,90.6,70.5
0,2019-07-31,91.9,73.3
0,2019-08-01,90.3,71.6
0,2019-08-02,86.9,72.0
0,2019-08-03,88.9,73.0
0,2019-08-04,90.2,71.5
0,2019-08-05,87.9,70.8
0,2019-08-06,91.1,70.4
0,2019-08-07,94.4,72.7
0,2019-08-08,93.4,73.5
0,2019-08-09,93.3,75.1
0,2019-08-10,87.9,74.5
0,2019-08-11,91.2,75.5
0,2019-08-12,96.0,75.9
0,2019-08-13,97.7,77.7
