location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,39.050964,-105.18518,2617.0,0,GMT,GMT
1,41.581722,-72.727264,54.0,0,GMT,GMT
2,39.33216,-75.47586,21.0,0,GMT,GMT
3,38.910366,-77.07251,24.0,0,GMT,GMT
4,27.732864,-81.707855,44.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,39.5,18.4
0,2018-01-02,35.2,11.0
0,2018-01-03,41.8,19.0
0,2018-01-04,42.9,21.0
0,2018-01-05,40.9,24.7
0,2018-01-06,43.9,26.5
0,2018-01-07,40.4,23.2
0,2018-01-08,47.3,27.7
0,2018-01-09,50.3,32.6
0,2018-01-10,42.0,30.7
0,2018-01-11,35.8,16.8
0,2018-01-12,35.6,21.7
0,2018-01-13,36.9,18.2
0,2018-01-14,43.6,21.5
0,2018-01-15,30.1,12.7
0,2018-01-16,34.5,2.4
0,2018-01-17,39.1,18.6
0,2018-01-18,47.5,22.3
0,2018-01-19,51.3,31.3
0,2018-01-20,46.8,28.8
0,2018-01-21,38.2,12.6
0,2018-01-22,25.8,-3.6
0,2018-01-23,25.1,6.0
0,2018-01-24,34.9,10.4
0,2018-01-25,39.4,18.9
0,2018-01-26,33.5,16.9
0,2018-01-27,30.7,1.7
0,2018-01-28,35.8,15.3
0,2018-01-29,44.2,15.3
0,2018-01-30,48.5,26.8
0,2018-01-31,47.3,30.9
0,2018-02-01,39.5,27.1
0,2018-02-02,46.9,23.7
0,2018-02-03,43.1,29.8
0,2018-02-04,46.9,28.9
0,2018-02-05,43.9,29.6
0,2018-02-06,35.5,23.0
0,2018-02-07,41.3,19.5
0,2018-02-08,47.8,26.3
0,2018-02-09,47.9,25.9
0,2018-02-10,41.3,15.3
0,2018-02-11,28.8,-3.5
0,2018-02-12,33.7,12.2
0,2018-02-13,38.4,19.3
0,2018-02-14,39.4,24.5
0,2018-02-15,37.6,22.7
0,2018-02-16,35.8,15.3
0,2018-02-17,37.3,18.3
0,2018-02-18,45.9,26.0
0,2018-02-19,41.2,27.1
0,2018-02-20,27.7,3.2
0,2018-02-21,23.8,-7.1
0,2018-02-22,27.5,3.1
0,2018-02-23,26.8,9.0
0,2018-02-24,26.8,1.5
0,2018-02-25,22.0,-7.1
0,2018-02-26,36.0,12.7
0,2018-02-27,38.5,16.2
0,2018-02-28,33.9,15.7
0,2018-03-01,40.3,16.8
0,2018-03-02,45.7,23.5
0,2018-03-03,50.4,29.5
0,2018-03-04,45.6,28.3
0,2018-03-05,36.9,14.1
0,2018-03-06,34.1,12.4
0,2018-03-07,43.0,17.1
0,2018-03-08,47.8,24.6
0,2018-03-09,48.2,26.1
0,2018-03-10,44.8,23.5
0,2018-03-11,41.4,19.9
0,2018-03-12,48.5,23.2
0,2018-03-13,45.1,22.5
0,2018-03-14,54.5,24.3
0,2018-03-15,51.4,32.2
0,2018-03-16,44.4,27.3
0,2018-03-17,46.8,24.3
0,2018-03-18,45.1,27.8
0,2018-03-19,32.3,18.8
0,2018-03-20,40.6,12.1
0,2018-03-21,49.1,22.0
0,2018-03-22,58.2,28.8
0,2018-03-23,52.9,36.7
0,2018-03-24,51.1,26.1
0,2018-03-25,53.7,30.0
0,2018-03-26,50.0,26.0
0,2018-03-27,37.3,20.5
0,2018-03-28,34.9,9.4
0,2018-03-29,34.9,8.1
0,2018-03-30,51.2,18.0
0,2018-03-31,54.4,25.9
0,2018-04-01,57.7,28.0
0,2018-04-02,57.9,35.9
0,2018-04-03,53.0,25.3
0,2018-04-04,53.1,23.9
0,2018-04-05,55.5,29.1
0,2018-04-06,47.7,31.6
0,2018-04-07,54.4,26.5
0,2018-04-08,49.5,32.4
0,2018-04-09,44.9,24.3
0,2018-04-10,58.7,26.5
0,2018-04-11,62.2,36.4
0,2018-04-12,62.3,41.8
