location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,33.07557,-83.697784,189.0,0,GMT,GMT
1,21.124779,-157.5,0.0,0,GMT,GMT
2,44.253075,-114.32062,1767.0,0,GMT,GMT
3,40.31634,-88.987335,245.0,0,GMT,GMT
4,39.824253,-86.23953,251.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,38.4,29.0
0,2018-01-02,36.4,18.8
0,2018-01-03,38.9,25.3
0,2018-01-04,35.5,24.5
0,2018-01-05,40.9,20.8
0,2018-01-06,40.8,24.5
0,2018-01-07,40.9,22.9
0,2018-01-08,47.4,27.7
0,2018-01-09,64.1,38.6
0,2018-01-10,61.9,50.8
0,2018-01-11,62.7,55.9
0,2018-01-12,61.0,55.1
0,2018-01-13,51.5,28.5
0,2018-01-14,42.7,23.0
0,2018-01-15,47.7,25.6
0,2018-01-16,50.8,28.4
0,2018-01-17,45.6,21.8
0,2018-01-18,42.9,18.1
0,2018-01-19,52.4,25.9
0,2018-01-20,58.5,30.0
0,2018-01-21,65.2,35.7
0,2018-01-22,66.5,45.2
0,2018-01-23,61.3,48.5
0,2018-01-24,53.3,35.0
0,2018-01-25,56.6,32.8
0,2018-01-26,57.1,35.4
0,2018-01-27,60.0,48.8
0,2018-01-28,56.6,52.9
0,2018-01-29,59.6,50.5
0,2018-01-30,49.8,32.8
0,2018-01-31,52.4,27.6
0,2018-02-01,63.1,35.7
0,2018-02-02,56.7,39.3
0,2018-02-03,49.6,30.4
0,2018-02-04,58.3,39.9
0,2018-02-05,54.9,39.4
0,2018-02-06,67.8,37.7
0,2018-02-07,61.6,55.4
0,2018-02-08,59.6,39.1
0,2018-02-09,60.7,38.8
0,2018-02-10,67.5,52.0
0,2018-02-11,65.3,62.3
0,2018-02-12,67.1,57.1
0,2018-02-13,61.5,50.5
0,2018-02-14,61.7,48.4
0,2018-02-15,71.9,55.5
0,2018-02-16,77.1,60.3
0,2018-02-17,75.1,56.7
0,2018-02-18,69.9,56.0
0,2018-02-19,72.9,58.7
0,2018-02-20,76.5,59.4
0,2018-02-21,75.3,65.3
0,2018-02-22,75.5,64.7
0,2018-02-23,75.2,60.2
0,2018-02-24,77.5,58.6
0,2018-02-25,72.2,57.8
0,2018-02-26,69.4,55.6
0,2018-02-27,65.4,46.4
0,2018-02-28,68.4,51.2
0,2018-03-01,75.4,62.1
0,2018-03-02,61.3,45.7
0,2018-03-03,63.9,38.8
0,2018-03-04,62.7,38.0
0,2018-03-05,58.5,41.2
0,2018-03-06,61.4,50.1
0,2018-03-07,56.8,43.6
0,2018-03-08,48.6,34.0
0,2018-03-09,58.8,31.0
0,2018-03-10,65.8,41.0
0,2018-03-11,59.2,48.9
0,2018-03-12,52.7,42.9
0,2018-03-13,53.9,34.9
0,2018-03-14,50.7,34.7
0,2018-03-15,64.2,34.2
0,2018-03-16,69.1,43.0
0,2018-03-17,73.9,50.3
0,2018-03-18,75.8,58.6
0,2018-03-19,70.4,55.9
0,2018-03-20,72.0,58.6
0,2018-03-21,56.5,39.7
0,2018-03-22,55.8,35.2
0,2018-03-23,62.4,36.9
0,2018-03-24,71.8,46.1
0,2018-03-25,66.5,43.9
0,2018-03-26,52.4,44.2
0,2018-03-27,61.4,46.4
0,2018-03-28,76.5,53.1
0,2018-03-29,73.0,55.7
0,2018-03-30,72.2,56.7
0,2018-03-31,67.7,43.8
0,2018-04-01,74.6,47.5
0,2018-04-02,77.4,53.4
0,2018-04-03,79.4,56.8
0,2018-04-04,72.6,59.2
0,2018-04-05,67.3,39.7
0,2018-04-06,74.0,47.2
0,2018-04-07,66.3,56.9
0,2018-04-08,56.9,40.8
0,2018-04-09,58.3,47.4
0,2018-04-10,63.8,47.3
0,2018-04-11,68.6,43.0
0,2018-04-12,73.6,48.0
0,2018-04-13,76.4,51.9
0,2018-04-14,81.3,58.7
0,2018-04-15,72.5,56.0
0,2018-04-16,55.9,39.5
0,2018-04-17,71.7,38.6
0,2018-04-18,79.0,52.1
0,2018-04-19,71.4,60.2
0,2018-04-20,66.6,46.2
0,2018-04-21,72.0,45.1
0,2018-04-22,63.2,56.5
0,2018-04-23,70.6,56.4
0,2018-04-24,68.9,58.5
0,2018-04-25,68.4,53.4
0,2018-04-26,66.8,49.6
0,2018-04-27,69.7,49.7
0,2018-04-28,75.3,50.6
0,2018-04-29,70.8,50.8
0,2018-04-30,74.0,47.1
0,2018-05-01,79.3,50.4
0,2018-05-02,81.6,55.1
0,2018-05-03,83.1,57.2
0,2018-05-04,82.7,58.2
0,2018-05-05,83.5,60.3
0,2018-05-06,79.4,61.0
0,2018-05-07,81.4,58.0
0,2018-05-08,80.6,58.1
0,2018-05-09,82.8,59.6
0,2018-05-10,88.0,62.3
0,2018-05-11,88.1,60.9
0,2018-05-12,87.1,65.2
0,2018-05-13,91.1,65.4
0,2018-05-14,90.5,67.8
0,2018-05-15,76.7,67.6
0,2018-05-16,79.3,66.2
0,2018-05-17,77.4,65.4
0,2018-05-18,77.6,65.2
0,2018-05-19,81.5,66.5
0,2018-05-20,81.2,67.5
0,2018-05-21,78.4,63.6
0,2018-05-22,78.8,66.4
0,2018-05-23,73.6,67.1
0,2018-05-24,79.8,67.5
0,2018-05-25,79.7,67.9
0,2018-05-26,79.5,66.5
0,2018-05-27,81.1,68.3
0,2018-05-28,79.5,67.2
0,2018-05-29,82.0,68.4
0,2018-05-30,84.3,70.7
0,2018-05-31,82.6,68.8
0,2018-06-01,86.6,68.6
0,2018-06-02,83.1,69.1
0,2018-06-03,88.3,70.4
0,2018-06-04,84.0,66.2
0,2018-06-05,83.4,62.3
0,2018-06-06,88.2,63.7
0,2018-06-07,87.9,66.4
0,2018-06-08,88.3,68.6
0,2018-06-09,88.0,69.6
0,2018-06-10,88.9,68.2
0,2018-06-11,86.6,69.4
0,2018-06-12,78.8,69.2
0,2018-06-13,83.0,68.6
0,2018-06-14,84.1,70.6
0,2018-06-15,87.1,70.4
0,2018-06-16,87.4,71.2
0,2018-06-17,82.1,71.0
0,2018-06-18,88.1,71.3
0,2018-06-19,91.1,72.9
0,2018-06-20,93.5,73.3
0,2018-06-21,88.8,73.4
0,2018-06-22,91.9,70.8
0,2018-06-23,86.6,72.4
0,2018-06-24,87.8,72.5
0,2018-06-25,90.1,74.2
0,2018-06-26,89.1,71.3
0,2018-06-27,89.8,72.0
0,2018-06-28,89.2,72.0
0,2018-06-29,89.1,68.7
0,2018-06-30,86.3,70.6
0,2018-07-01,84.8,72.4
0,2018-07-02,89.3,71.7
0,2018-07-03,91.2,72.7
0,2018-07-04,89.4,71.9
0,2018-07-05,88.2,71.8
0,2018-07-06,89.0,71.5
0,2018-07-07,88.5,71.8
0,2018-07-08,83.8,69.4
0,2018-07-09,86.8,67.9
0,2018-07-10,88.7,69.2
0,2018-07-11,91.7,72.7
0,2018-07-12,92.2,73.0
0,2018-07-13,91.0,73.2
0,2018-07-14,83.8,73.2
0,2018-07-15,82.0,73.0
0,2018-07-16,83.8,72.4
0,2018-07-17,87.8,72.2
0,2018-07-18,89.8,73.1
0,2018-07-19,86.8,72.4
0,2018-07-20,82.0,72.2
0,2018-07-21,88.3,72.0
0,2018-07-22,86.1,70.4
0,2018-07-23,85.3,68.9
0,2018-07-24,82.7,69.9
0,2018-07-25,85.8,68.7
0,2018-07-26,88.6,69.2
0,2018-07-27,91.8,69.5
0,2018-07-28,89.1,72.1
0,2018-07-29,89.6,67.5
0,2018-07-30,88.8,70.2
0,2018-07-31,85.4,72.1
0,2018-08-01,77.1,70.3
0,2018-08-02,75.8,70.4
0,2018-08-03,85.0,70.0
0,2018-08-04,88.0,70.2
0,2018-08-05,89.0,71.6
0,2018-08-06,89.5,72.8
0,2018-08-07,88.1,72.2
0,2018-08-08,90.2,71.3
0,2018-08-09,83.7,72.9
0,2018-08-10,85.9,70.6
0,2018-08-11,84.6,73.1
0,2018-08-12,90.5,70.7
0,2018-08-13,89.9,70.5
0,2018-08-14,89.7,68.7
0,2018-08-15,91.4,68.6
0,2018-08-16,88.7,72.4
0,2018-08-17,86.1,71.4
0,2018-08-18,82.9,73.1
0,2018-08-19,87.3,73.1
0,2018-08-20,84.0,72.5
0,2018-08-21,83.0,71.0
0,2018-08-22,86.2,69.5
0,2018-08-23,85.2,67.5
0,2018-08-24,82.3,65.5
0,2018-08-25,86.8,65.7
0,2018-08-26,86.8,69.0
0,2018-08-27,88.6,70.7
0,2018-08-28,88.1,72.1
0,2018-08-29,89.4,71.2
0,2018-08-30,86.9,70.7
0,2018-08-31,90.1,69.2
0,2018-09-01,91.1,70.6
0,2018-09-02,90.2,71.4
0,2018-09-03,89.5,71.5
0,2018-09-04,90.3,73.2
0,2018-09-05,88.8,72.6
0,2018-09-06,89.7,72.2
0,2018-09-07,89.9,71.4
