location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,42.003513,-93.275116,336.0,0,GMT,GMT
1,38.558872,-96.725555,398.0,0,GMT,GMT
2,37.64499,-84.71295,272.0,0,GMT,GMT
3,31.177504,-91.819244,29.0,0,GMT,GMT
4,44.674866,-69.33743,71.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,-7.9,-21.3
0,2018-01-02,7.5,-18.1
0,2018-01-03,18.1,1.7
0,2018-01-04,5.1,-12.1
0,2018-01-05,6.1,-3.7
0,2018-01-06,7.4,-13.3
0,2018-01-07,34.4,8.3
0,2018-01-08,37.4,18.9
0,2018-01-09,41.1,28.1
0,2018-01-10,44.9,31.5
0,2018-01-11,40.9,9.1
0,2018-01-12,10.9,-2.3
0,2018-01-13,11.4,-1.8
0,2018-01-14,22.2,0.9
0,2018-01-15,21.9,-1.0
0,2018-01-16,11.8,-5.3
0,2018-01-17,23.3,0.5
0,2018-01-18,35.5,17.4
0,2018-01-19,46.7,27.0
0,2018-01-20,45.7,25.4
0,2018-01-21,41.4,32.6
0,2018-01-22,44.7,35.7
0,2018-01-23,32.8,24.2
0,2018-01-24,36.3,17.4
0,2018-01-25,45.9,25.1
0,2018-01-26,54.5,36.5
0,2018-01-27,49.4,26.3
0,2018-01-28,37.1,21.8
0,2018-01-29,25.3,13.3
0,2018-01-30,36.8,11.8
0,2018-01-31,41.1,31.1
0,2018-02-01,33.3,5.3
0,2018-02-02,23.4,2.8
0,2018-02-03,40.2,19.7
0,2018-02-04,34.7,8.2
0,2018-02-05,11.8,3.6
0,2018-02-06,9.1,-8.9
0,2018-02-07,6.2,-0.5
0,2018-02-08,16.3,-4.4
0,2018-02-09,17.2,7.7
0,2018-02-10,6.8,2.8
0,2018-02-11,8.2,2.4
0,2018-02-12,8.4,0.2
0,2018-02-13,24.4,4.9
0,2018-02-14,36.2,24.3
0,2018-02-15,36.1,31.5
0,2018-02-16,32.8,3.6
0,2018-02-17,32.1,11.9
0,2018-02-18,49.9,12.4
0,2018-02-19,41.5,30.4
0,2018-02-20,31.4,24.7
0,2018-02-21,26.4,6.8
0,2018-02-22,29.4,20.0
0,2018-02-23,35.2,27.3
0,2018-02-24,33.7,21.7
0,2018-02-25,43.2,22.5
0,2018-02-26,55.9,24.4
0,2018-02-27,61.6,33.2
0,2018-02-28,51.1,30.0
0,2018-03-01,45.2,27.8
0,2018-03-02,47.8,21.7
0,2018-03-03,53.0,32.8
0,2018-03-04,54.9,36.1
0,2018-03-05,50.3,34.3
0,2018-03-06,36.6,27.2
0,2018-03-07,33.3,20.4
0,2018-03-08,33.7,17.3
0,2018-03-09,39.3,19.9
0,2018-03-10,42.4,25.2
0,2018-03-11,42.7,30.7
0,2018-03-12,44.3,27.5
0,2018-03-13,40.2,24.4
0,2018-03-14,57.2,20.8
0,2018-03-15,50.9,26.1
0,2018-03-16,43.7,27.9
0,2018-03-17,43.4,30.4
0,2018-03-18,45.9,28.3
0,2018-03-19,53.1,32.2
0,2018-03-20,46.8,29.4
0,2018-03-21,44.7,23.3
0,2018-03-22,46.3,29.1
0,2018-03-23,44.9,32.7
0,2018-03-24,44.1,29.1
0,2018-03-25,35.7,26.8
0,2018-03-26,37.9,29.9
0,2018-03-27,45.3,31.6
0,2018-03-28,54.6,26.4
0,2018-03-29,47.5,28.5
0,2018-03-30,47.8,29.2
0,2018-03-31,48.6,34.4
0,2018-04-01,34.1,17.8
0,2018-04-02,42.4,19.2
0,2018-04-03,35.3,31.0
0,2018-04-04,34.3,12.6
0,2018-04-05,46.8,26.2
0,2018-04-06,43.9,22.3
0,2018-04-07,39.6,14.1
0,2018-04-08,33.8,23.1
0,2018-04-09,38.5,27.1
0,2018-04-10,49.3,25.4
0,2018-04-11,62.2,34.5
0,2018-04-12,62.8,42.3
0,2018-04-13,59.2,45.1
