location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,39.050964,-76.79013,51.0,0,GMT,GMT
1,42.21441,-71.57895,115.0,0,GMT,GMT
2,43.33919,-84.476074,233.0,0,GMT,GMT
3,45.729347,-93.832794,363.0,0,GMT,GMT
4,32.724075,-89.67032,108.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,23.4,9.2
0,2018-01-02,26.2,11.2
0,2018-01-03,34.3,10.8
0,2018-01-04,26.9,21.9
0,2018-01-05,19.3,10.5
0,2018-01-06,17.5,7.3
0,2018-01-07,21.9,5.7
0,2018-01-08,35.3,16.0
0,2018-01-09,47.1,29.4
0,2018-01-10,44.1,26.9
0,2018-01-11,61.4,34.8
0,2018-01-12,63.6,52.2
0,2018-01-13,61.9,26.8
0,2018-01-14,26.9,15.5
0,2018-01-15,31.6,16.8
0,2018-01-16,42.0,23.5
0,2018-01-17,31.6,24.9
0,2018-01-18,39.9,17.2
0,2018-01-19,48.6,26.1
0,2018-01-20,54.0,27.7
0,2018-01-21,56.8,36.4
0,2018-01-22,62.0,45.9
0,2018-01-23,61.6,49.1
0,2018-01-24,49.1,38.2
0,2018-01-25,41.0,27.0
0,2018-01-26,45.0,24.5
0,2018-01-27,57.3,31.8
0,2018-01-28,56.5,47.3
0,2018-01-29,49.1,39.3
0,2018-01-30,40.2,27.5
0,2018-01-31,35.7,19.0
0,2018-02-01,50.9,28.5
0,2018-02-02,50.1,22.8
0,2018-02-03,34.7,17.3
0,2018-02-04,35.1,29.4
0,2018-02-05,34.9,27.1
0,2018-02-06,42.6,24.0
0,2018-02-07,42.4,27.6
0,2018-02-08,38.9,22.6
0,2018-02-09,45.2,23.6
0,2018-02-10,48.4,35.8
0,2018-02-11,63.9,47.1
0,2018-02-12,64.1,38.9
0,2018-02-13,39.7,25.0
0,2018-02-14,54.5,30.3
0,2018-02-15,65.9,45.8
0,2018-02-16,64.9,45.9
0,2018-02-17,48.5,28.6
0,2018-02-18,49.2,26.6
0,2018-02-19,52.5,34.4
0,2018-02-20,71.7,44.7
0,2018-02-21,78.0,58.5
0,2018-02-22,69.0,45.2
0,2018-02-23,46.2,38.9
0,2018-02-24,50.3,43.4
0,2018-02-25,59.3,44.3
0,2018-02-26,51.0,46.0
0,2018-02-27,55.1,33.7
0,2018-02-28,58.2,39.8
0,2018-03-01,54.5,44.3
0,2018-03-02,47.4,37.8
0,2018-03-03,50.1,33.8
0,2018-03-04,48.3,32.2
0,2018-03-05,45.8,26.8
0,2018-03-06,46.5,25.6
0,2018-03-07,43.9,33.8
0,2018-03-08,41.0,29.2
0,2018-03-09,42.7,29.0
0,2018-03-10,48.6,25.9
0,2018-03-11,47.6,26.4
0,2018-03-12,41.4,29.2
0,2018-03-13,44.4,30.1
0,2018-03-14,41.7,26.7
0,2018-03-15,49.2,27.3
0,2018-03-16,43.2,29.4
0,2018-03-17,41.5,26.9
0,2018-03-18,53.9,28.4
0,2018-03-19,54.9,28.8
0,2018-03-20,43.0,31.5
0,2018-03-21,34.2,30.2
0,2018-03-22,44.4,27.6
0,2018-03-23,46.5,25.4
0,2018-03-24,49.3,25.9
0,2018-03-25,45.0,24.7
0,2018-03-26,46.5,28.1
0,2018-03-27,43.4,29.4
0,2018-03-28,51.6,38.8
0,2018-03-29,74.0,42.0
0,2018-03-30,69.9,51.0
0,2018-03-31,58.2,34.1
0,2018-04-01,62.7,46.1
0,2018-04-02,54.3,37.7
0,2018-04-03,58.1,39.0
0,2018-04-04,67.2,46.0
0,2018-04-05,49.5,32.3
0,2018-04-06,66.1,39.0
0,2018-04-07,61.9,39.3
0,2018-04-08,46.9,30.0
0,2018-04-09,45.0,32.4
0,2018-04-10,52.2,33.6
0,2018-04-11,54.1,34.0
0,2018-04-12,72.8,40.8
0,2018-04-13,81.3,57.1
0,2018-04-14,81.7,60.1
0,2018-04-15,75.7,51.5
0,2018-04-16,62.2,43.6
0,2018-04-17,48.7,35.9
0,2018-04-18,60.6,31.9
0,2018-04-19,54.3,44.3
0,2018-04-20,55.8,33.0
0,2018-04-21,59.9,33.4
0,2018-04-22,61.5,42.0
0,2018-04-23,66.3,46.7
0,2018-04-24,61.6,47.7
0,2018-04-25,63.5,51.8
0,2018-04-26,67.0,43.5
0,2018-04-27,62.8,49.9
0,2018-04-28,74.1,47.9
0,2018-04-29,63.4,41.3
0,2018-04-30,66.0,38.2
0,2018-05-01,76.0,44.2
0,2018-05-02,85.2,51.9
0,2018-05-03,88.0,59.3
0,2018-05-04,90.4,64.3
0,2018-05-05,78.0,61.9
0,2018-05-06,69.8,56.2
0,2018-05-07,72.4,55.1
0,2018-05-08,73.3,54.3
0,2018-05-09,76.2,50.8
0,2018-05-10,82.4,56.3
0,2018-05-11,78.9,59.1
0,2018-05-12,87.7,60.9
0,2018-05-13,70.8,59.3
0,2018-05-14,83.5,56.8
0,2018-05-15,88.8,63.3
0,2018-05-16,73.0,65.9
0,2018-05-17,66.3,61.8
0,2018-05-18,67.2,57.6
0,2018-05-19,70.5,54.4
0,2018-05-20,82.5,67.1
