location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,38.488575,-92.32022,227.0,0,GMT,GMT
1,46.924427,-110.4214,1869.0,0,GMT,GMT
2,41.159927,-98.24036,554.0,0,GMT,GMT
3,38.347977,-117.158325,1810.0,0,GMT,GMT
4,43.479786,-71.62164,147.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,13.4,-3.7
0,2018-01-02,23.3,1.0
0,2018-01-03,27.3,16.4
0,2018-01-04,24.6,6.0
0,2018-01-05,29.2,14.2
0,2018-01-06,29.8,12.2
0,2018-01-07,36.8,24.0
0,2018-01-08,45.1,29.0
0,2018-01-09,43.6,26.6
0,2018-01-10,54.5,36.1
0,2018-01-11,55.9,24.5
0,2018-01-12,23.5,11.3
0,2018-01-13,25.2,11.6
0,2018-01-14,32.0,16.5
0,2018-01-15,30.8,15.0
0,2018-01-16,14.8,-0.8
0,2018-01-17,27.1,2.9
0,2018-01-18,45.1,18.5
0,2018-01-19,52.7,29.6
0,2018-01-20,56.0,36.5
0,2018-01-21,64.4,45.5
0,2018-01-22,57.2,38.3
0,2018-01-23,39.2,31.5
0,2018-01-24,46.6,24.7
0,2018-01-25,59.9,30.7
0,2018-01-26,55.9,40.1
0,2018-01-27,55.6,36.8
0,2018-01-28,51.7,27.4
0,2018-01-29,42.4,21.5
0,2018-01-30,45.1,20.7
0,2018-01-31,56.2,35.8
0,2018-02-01,45.2,26.3
0,2018-02-02,34.5,14.5
0,2018-02-03,47.2,26.7
0,2018-02-04,39.8,22.0
0,2018-02-05,36.7,8.9
0,2018-02-06,29.1,15.0
0,2018-02-07,33.3,15.8
0,2018-02-08,51.2,20.5
0,2018-02-09,52.8,35.8
0,2018-02-10,34.7,22.3
0,2018-02-11,30.6,18.5
0,2018-02-12,40.1,15.5
0,2018-02-13,47.0,23.0
0,2018-02-14,58.2,34.5
0,2018-02-15,74.2,46.7
0,2018-02-16,62.1,30.9
0,2018-02-17,50.3,29.3
0,2018-02-18,54.7,30.1
0,2018-02-19,66.0,48.3
0,2018-02-20,66.7,36.2
0,2018-02-21,34.0,24.3
0,2018-02-22,43.9,28.2
0,2018-02-23,44.6,34.5
0,2018-02-24,51.5,35.6
0,2018-02-25,52.1,27.9
0,2018-02-26,59.8,30.1
0,2018-02-27,66.2,40.6
0,2018-02-28,60.5,46.6
0,2018-03-01,56.4,42.8
0,2018-03-02,54.8,29.4
0,2018-03-03,59.3,33.7
0,2018-03-04,57.8,35.7
0,2018-03-05,56.0,45.3
0,2018-03-06,49.9,37.8
0,2018-03-07,38.3,31.2
0,2018-03-08,42.2,22.2
0,2018-03-09,57.3,28.4
0,2018-03-10,57.1,32.6
0,2018-03-11,50.5,35.5
0,2018-03-12,47.7,30.5
0,2018-03-13,46.4,26.4
0,2018-03-14,56.2,20.6
0,2018-03-15,69.2,42.6
0,2018-03-16,59.9,41.0
0,2018-03-17,50.7,42.6
0,2018-03-18,54.5,38.8
0,2018-03-19,46.4,38.2
0,2018-03-20,47.3,34.2
0,2018-03-21,47.0,35.4
0,2018-03-22,56.6,29.4
0,2018-03-23,54.4,42.0
0,2018-03-24,53.6,44.0
0,2018-03-25,51.2,35.2
0,2018-03-26,57.2,40.0
0,2018-03-27,57.0,45.2
0,2018-03-28,52.6,41.3
0,2018-03-29,50.4,43.2
0,2018-03-30,54.6,31.8
0,2018-03-31,63.2,38.3
0,2018-04-01,55.1,28.4
0,2018-04-02,44.4,23.8
0,2018-04-03,61.5,38.3
0,2018-04-04,42.4,21.0
0,2018-04-05,63.0,28.2
0,2018-04-06,57.5,37.4
0,2018-04-07,42.3,22.0
0,2018-04-08,39.6,27.7
0,2018-04-09,51.1,29.9
0,2018-04-10,54.2,31.7
0,2018-04-11,74.4,44.3
0,2018-04-12,79.6,56.4
0,2018-04-13,76.6,64.9
0,2018-04-14,69.0,49.3
0,2018-04-15,45.2,33.3
0,2018-04-16,48.5,29.0
0,2018-04-17,67.1,31.3
0,2018-04-18,60.1,47.0
0,2018-04-19,55.2,32.2
0,2018-04-20,62.1,33.7
0,2018-04-21,64.0,39.2
0,2018-04-22,59.5,47.9
0,2018-04-23,63.4,50.3
0,2018-04-24,71.2,49.3
0,2018-04-25,67.3,51.2
0,2018-04-26,67.7,45.9
0,2018-04-27,68.9,46.8
0,2018-04-28,64.6,46.4
0,2018-04-29,68.0,40.2
0,2018-04-30,78.7,48.2
0,2018-05-01,81.7,59.9
0,2018-05-02,83.8,65.4
0,2018-05-03,80.6,66.6
0,2018-05-04,73.4,64.4
0,2018-05-05,80.2,52.0
0,2018-05-06,82.8,56.3
0,2018-05-07,80.9,55.4
