location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,40.31634,-74.556946,32.0,0,GMT,GMT
1,34.83304,-106.19772,2087.0,0,GMT,GMT
2,42.14411,-74.759125,660.0,0,GMT,GMT
3,35.606327,-79.82007,214.0,0,GMT,GMT
4,47.557117,-99.769745,514.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,20.4,5.7
0,2018-01-02,26.3,10.6
0,2018-01-03,31.2,10.1
0,2018-01-04,25.8,19.4
0,2018-01-05,22.7,7.1
0,2018-01-06,12.1,3.3
0,2018-01-07,14.3,-6.8
0,2018-01-08,30.5,12.0
0,2018-01-09,41.6,29.7
0,2018-01-10,38.2,12.4
0,2018-01-11,58.3,35.7
0,2018-01-12,62.7,48.2
0,2018-01-13,62.0,25.2
0,2018-01-14,27.0,14.8
0,2018-01-15,30.2,16.5
0,2018-01-16,42.5,25.2
0,2018-01-17,33.7,26.7
0,2018-01-18,31.0,14.9
0,2018-01-19,41.5,23.1
0,2018-01-20,50.1,31.2
0,2018-01-21,51.3,31.7
0,2018-01-22,51.1,41.7
0,2018-01-23,59.2,40.6
0,2018-01-24,48.2,36.6
0,2018-01-25,35.4,22.0
0,2018-01-26,39.2,20.4
0,2018-01-27,54.3,27.8
0,2018-01-28,53.6,45.0
0,2018-01-29,45.3,38.4
0,2018-01-30,39.0,29.2
0,2018-01-31,31.8,16.2
0,2018-02-01,46.8,26.6
0,2018-02-02,39.9,22.5
0,2018-02-03,32.1,17.0
0,2018-02-04,40.8,25.5
0,2018-02-05,40.6,25.2
0,2018-02-06,39.0,21.3
0,2018-02-07,53.9,24.7
0,2018-02-08,40.6,22.6
0,2018-02-09,39.8,20.1
0,2018-02-10,52.8,31.9
0,2018-02-11,63.0,42.6
0,2018-02-12,62.3,37.1
0,2018-02-13,39.0,22.9
0,2018-02-14,52.5,30.0
0,2018-02-15,60.3,43.5
0,2018-02-16,57.2,45.5
0,2018-02-17,43.9,24.4
0,2018-02-18,42.0,32.6
0,2018-02-19,51.5,26.7
0,2018-02-20,68.2,48.5
0,2018-02-21,74.3,59.1
0,2018-02-22,67.1,39.6
0,2018-02-23,41.9,36.2
0,2018-02-24,53.1,39.5
0,2018-02-25,48.3,41.7
0,2018-02-26,53.0,41.8
0,2018-02-27,55.2,30.9
0,2018-02-28,59.0,36.5
0,2018-03-01,59.8,39.2
0,2018-03-02,46.7,35.4
0,2018-03-03,46.3,35.5
0,2018-03-04,45.2,33.4
0,2018-03-05,43.0,26.6
0,2018-03-06,47.7,24.7
0,2018-03-07,38.1,33.9
0,2018-03-08,40.0,28.9
0,2018-03-09,39.6,22.7
0,2018-03-10,40.6,25.5
0,2018-03-11,44.4,24.4
0,2018-03-12,43.3,25.1
0,2018-03-13,41.9,32.7
0,2018-03-14,41.2,25.5
0,2018-03-15,46.8,29.4
0,2018-03-16,39.3,28.2
0,2018-03-17,49.4,24.1
0,2018-03-18,44.5,24.1
0,2018-03-19,48.0,26.7
0,2018-03-20,36.0,27.1
0,2018-03-21,36.3,31.7
0,2018-03-22,45.8,32.2
0,2018-03-23,44.3,23.9
0,2018-03-24,48.2,26.4
0,2018-03-25,44.4,27.1
0,2018-03-26,45.9,26.6
0,2018-03-27,46.5,25.2
0,2018-03-28,46.9,36.3
0,2018-03-29,67.3,45.0
0,2018-03-30,64.8,47.9
0,2018-03-31,55.8,31.2
0,2018-04-01,60.3,41.2
0,2018-04-02,48.6,32.0
0,2018-04-03,44.7,24.0
0,2018-04-04,70.2,39.4
0,2018-04-05,45.3,30.3
0,2018-04-06,59.3,30.4
0,2018-04-07,52.4,39.1
0,2018-04-08,44.6,29.0
0,2018-04-09,46.3,26.5
0,2018-04-10,48.5,34.2
0,2018-04-11,49.9,26.4
0,2018-04-12,66.0,38.2
0,2018-04-13,78.4,56.5
0,2018-04-14,80.9,60.6
0,2018-04-15,49.8,40.8
0,2018-04-16,68.6,37.5
0,2018-04-17,47.2,36.7
0,2018-04-18,55.0,32.0
