location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,40.386642,-82.77466,376.0,0,GMT,GMT
1,35.536026,-96.93198,293.0,0,GMT,GMT
2,44.60457,-121.984604,1148.0,0,GMT,GMT
3,40.597538,-77.27014,272.0,0,GMT,GMT
4,41.65202,-71.5318,91.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,6.1,-2.6
0,2018-01-02,8.0,-5.1
0,2018-01-03,18.6,3.7
0,2018-01-04,15.1,7.7
0,2018-01-05,9.5,-3.2
0,2018-01-06,9.7,-6.6
0,2018-01-07,25.2,-2.5
0,2018-01-08,34.7,24.7
0,2018-01-09,34.8,21.0
0,2018-01-10,47.8,23.7
0,2018-01-11,55.0,48.3
0,2018-01-12,56.4,22.9
0,2018-01-13,22.2,10.6
0,2018-01-14,15.9,6.3
0,2018-01-15,25.0,7.7
0,2018-01-16,24.4,-1.0
0,2018-01-17,13.8,-9.3
0,2018-01-18,22.2,7.1
0,2018-01-19,30.6,17.2
0,2018-01-20,39.5,30.0
0,2018-01-21,49.0,36.2
0,2018-01-22,57.9,45.9
0,2018-01-23,52.9,34.9
0,2018-01-24,33.5,26.8
0,2018-01-25,36.1,24.1
0,2018-01-26,50.1,29.7
0,2018-01-27,46.3,41.1
0,2018-01-28,47.4,26.9
0,2018-01-29,41.0,27.3
0,2018-01-30,25.7,14.1
0,2018-01-31,45.2,17.7
0,2018-02-01,41.7,28.8
0,2018-02-02,26.6,8.2
0,2018-02-03,33.7,13.2
0,2018-02-04,36.1,29.1
0,2018-02-05,31.6,9.8
0,2018-02-06,27.0,14.1
0,2018-02-07,25.8,20.7
0,2018-02-08,23.6,8.6
0,2018-02-09,40.9,12.5
0,2018-02-10,40.2,30.3
0,2018-02-11,43.0,27.5
0,2018-02-12,33.0,20.3
0,2018-02-13,42.3,18.0
0,2018-02-14,45.4,33.1
0,2018-02-15,57.9,43.4
0,2018-02-16,60.2,33.2
0,2018-02-17,34.2,25.7
0,2018-02-18,40.0,29.4
0,2018-02-19,62.4,33.5
0,2018-02-20,70.9,56.4
0,2018-02-21,68.2,38.7
0,2018-02-22,45.7,33.1
0,2018-02-23,58.4,38.9
0,2018-02-24,55.5,41.2
0,2018-02-25,59.3,43.3
0,2018-02-26,48.9,30.2
0,2018-02-27,54.4,34.2
0,2018-02-28,59.5,42.2
0,2018-03-01,53.5,34.3
0,2018-03-02,38.5,28.0
0,2018-03-03,38.7,23.9
0,2018-03-04,43.2,22.5
0,2018-03-05,41.6,23.2
0,2018-03-06,50.1,32.2
0,2018-03-07,39.6,29.6
0,2018-03-08,31.1,21.7
0,2018-03-09,30.8,23.0
0,2018-03-10,39.3,22.2
0,2018-03-11,41.4,22.6
0,2018-03-12,37.1,22.5
0,2018-03-13,37.1,22.5
0,2018-03-14,33.3,20.5
0,2018-03-15,43.8,27.0
0,2018-03-16,36.8,18.4
0,2018-03-17,40.6,24.9
0,2018-03-18,49.7,25.3
0,2018-03-19,51.6,30.6
0,2018-03-20,46.1,29.2
0,2018-03-21,34.9,28.2
0,2018-03-22,39.7,24.0
0,2018-03-23,41.2,23.7
0,2018-03-24,42.6,22.7
0,2018-03-25,41.8,22.2
0,2018-03-26,50.1,29.1
0,2018-03-27,51.9,40.1
0,2018-03-28,53.7,45.7
0,2018-03-29,58.2,43.6
0,2018-03-30,43.1,32.8
0,2018-03-31,53.7,28.5
0,2018-04-01,50.3,29.4
0,2018-04-02,45.9,26.0
0,2018-04-03,61.3,35.0
0,2018-04-04,58.2,31.2
0,2018-04-05,43.6,23.1
0,2018-04-06,50.7,33.3
0,2018-04-07,37.9,23.5
0,2018-04-08,38.9,18.6
0,2018-04-09,37.8,26.5
0,2018-04-10,42.5,26.9
0,2018-04-11,56.4,28.6
0,2018-04-12,70.8,46.9
0,2018-04-13,73.2,54.5
0,2018-04-14,68.1,57.1
0,2018-04-15,62.7,44.0
0,2018-04-16,49.4,33.6
0,2018-04-17,36.4,29.2
0,2018-04-18,54.2,24.8
0,2018-04-19,47.6,31.4
0,2018-04-20,51.9,27.1
0,2018-04-21,55.5,31.2
0,2018-04-22,62.6,38.7
0,2018-04-23,67.5,43.9
0,2018-04-24,52.5,49.2
0,2018-04-25,56.5,48.8
0,2018-04-26,60.4,36.2
0,2018-04-27,64.5,42.0
0,2018-04-28,56.7,38.9
0,2018-04-29,51.5,31.9
0,2018-04-30,62.7,35.4
0,2018-05-01,73.5,45.3
0,2018-05-02,78.0,55.0
0,2018-05-03,72.6,62.4
0,2018-05-04,75.3,63.2
0,2018-05-05,69.7,48.6
0,2018-05-06,71.0,52.2
0,2018-05-07,66.0,47.9
0,2018-05-08,72.0,46.2
0,2018-05-09,77.3,55.1
0,2018-05-10,72.5,62.2
0,2018-05-11,70.1,51.0
0,2018-05-12,74.9,54.9
0,2018-05-13,76.1,51.8
0,2018-05-14,75.5,58.3
0,2018-05-15,76.5,64.6
0,2018-05-16,69.8,57.7
0,2018-05-17,79.5,57.9
0,2018-05-18,73.2,60.9
0,2018-05-19,73.3,61.5
0,2018-05-20,75.3,58.8
0,2018-05-21,77.9,54.8
0,2018-05-22,75.0,64.5
0,2018-05-23,74.7,55.3
0,2018-05-24,78.9,54.8
0,2018-05-25,80.7,58.0
0,2018-05-26,81.5,62.9
0,2018-05-27,83.4,63.9
0,2018-05-28,86.1,65.0
0,2018-05-29,84.9,67.1
0,2018-05-30,81.9,69.4
0,2018-05-31,79.1,68.8
0,2018-06-01,77.6,65.5
0,2018-06-02,75.3,61.4
0,2018-06-03,78.2,62.0
0,2018-06-04,71.7,56.8
0,2018-06-05,67.7,55.8
0,2018-06-06,66.9,46.7
0,2018-06-07,76.7,51.9
0,2018-06-08,80.9,63.6
0,2018-06-09,81.5,63.1
0,2018-06-10,79.1,65.2
0,2018-06-11,72.1,64.2
0,2018-06-12,73.2,59.8
0,2018-06-13,78.7,66.3
0,2018-06-14,77.8,56.2
0,2018-06-15,81.2,60.5
0,2018-06-16,85.0,64.9
0,2018-06-17,88.0,70.0
0,2018-06-18,86.5,71.5
0,2018-06-19,82.8,71.3
0,2018-06-20,79.4,68.4
0,2018-06-21,78.0,60.9
0,2018-06-22,76.3,64.9
0,2018-06-23,76.1,64.4
0,2018-06-24,77.3,62.6
0,2018-06-25,78.3,60.4
0,2018-06-26,79.6,59.4
0,2018-06-27,76.0,66.5
0,2018-06-28,80.0,61.8
0,2018-06-29,85.6,65.4
0,2018-06-30,87.3,68.7
0,2018-07-01,87.7,69.9
0,2018-07-02,82.5,71.1
0,2018-07-03,84.8,68.7
0,2018-07-04,85.2,71.9
0,2018-07-05,84.4,72.1
0,2018-07-06,75.6,64.9
0,2018-07-07,77.3,56.3
0,2018-07-08,81.3,56.0
0,2018-07-09,84.2,62.9
0,2018-07-10,84.3,67.2
0,2018-07-11,79.7,62.0
0,2018-07-12,81.4,60.7
0,2018-07-13,84.5,63.2
0,2018-07-14,86.1,68.5
0,2018-07-15,86.6,70.7
0,2018-07-16,82.9,70.4
0,2018-07-17,80.7,68.4
0,2018-07-18,77.8,61.1
0,2018-07-19,81.6,58.6
0,2018-07-20,77.0,67.4
0,2018-07-21,76.0,63.7
0,2018-07-22,76.9,62.8
0,2018-07-23,76.2,63.6
0,2018-07-24,78.9,65.2
0,2018-07-25,79.8,65.2
0,2018-07-26,82.1,63.1
0,2018-07-27,75.9,62.7
0,2018-07-28,73.7,57.2
0,2018-07-29,74.4,59.8
0,2018-07-30,76.4,62.5
0,2018-07-31,74.9,65.3
0,2018-08-01,72.5,63.8
0,2018-08-02,76.3,63.6
0,2018-08-03,80.7,62.9
0,2018-08-04,84.3,65.4
0,2018-08-05,83.6,68.9
0,2018-08-06,84.3,68.6
0,2018-08-07,81.7,69.5
0,2018-08-08,77.7,69.7
0,2018-08-09,80.1,65.6
0,2018-08-10,78.2,66.9
0,2018-08-11,80.0,64.2
0,2018-08-12,79.1,61.8
0,2018-08-13,78.7,62.6
0,2018-08-14,78.9,62.6
0,2018-08-15,81.8,65.6
0,2018-08-16,76.0,66.8
0,2018-08-17,77.1,68.1
0,2018-08-18,78.3,66.6
0,2018-08-19,80.8,61.4
0,2018-08-20,81.5,61.5
0,2018-08-21,78.0,68.6
0,2018-08-22,70.6,61.2
0,2018-08-23,74.8,54.6
0,2018-08-24,76.3,57.3
0,2018-08-25,77.6,64.1
0,2018-08-26,83.8,67.9
0,2018-08-27,84.3,70.8
0,2018-08-28,85.7,71.1
0,2018-08-29,84.3,72.0
0,2018-08-30,76.3,65.6
0,2018-08-31,82.2,60.9
0,2018-09-01,81.9,69.0
0,2018-09-02,83.6,68.1
0,2018-09-03,86.6,70.3
0,2018-09-04,86.1,70.0
0,2018-09-05,87.1,71.7
0,2018-09-06,80.4,70.9
0,2018-09-07,79.1,66.6
0,2018-09-08,69.4,58.8
0,2018-09-09,61.5,52.7
0,2018-09-10,64.9,57.2
0,2018-09-11,69.1,58.6
0,2018-09-12,74.5,59.2
0,2018-09-13,78.7,63.7
0,2018-09-14,81.3,67.5
0,2018-09-15,82.7,67.6
0,2018-09-16,82.0,66.6
0,2018-09-17,75.5,67.7
0,2018-09-18,81.9,64.7
0,2018-09-19,80.0,67.9
0,2018-09-20,84.3,64.2
0,2018-09-21,83.7,71.8
0,2018-09-22,73.7,55.8
0,2018-09-23,68.7,50.7
0,2018-09-24,68.1,57.7
0,2018-09-25,72.6,63.8
0,2018-09-26,69.0,60.9
0,2018-09-27,63.5,50.9
0,2018-09-28,67.5,45.6
0,2018-09-29,63.6,49.9
0,2018-09-30,73.5,51.4
0,2018-10-01,77.4,58.1
0,2018-10-02,73.5,66.9
0,2018-10-03,76.8,61.8
0,2018-10-04,76.8,62.0
0,2018-10-05,71.7,47.9
0,2018-10-06,78.8,66.5
0,2018-10-07,80.5,64.8
0,2018-10-08,82.2,68.1
0,2018-10-09,80.9,68.0
0,2018-10-10,78.9,67.3
0,2018-10-11,69.4,51.9
0,2018-10-12,52.1,43.4
0,2018-10-13,47.4,37.3
0,2018-10-14,57.1,41.2
0,2018-10-15,55.6,48.0
0,2018-10-16,52.1,35.2
0,2018-10-17,52.8,40.7
0,2018-10-18,48.4,31.7
0,2018-10-19,55.1,35.8
0,2018-10-20,55.5,43.6
0,2018-10-21,42.6,31.2
0,2018-10-22,55.0,34.5
0,2018-10-23,53.4,42.7
0,2018-10-24,47.7,34.1
0,2018-10-25,48.3,32.7
0,2018-10-26,46.8,37.5
0,2018-10-27,46.0,41.9
0,2018-10-28,49.4,38.4
0,2018-10-29,51.1,38.9
0,2018-10-30,58.0,37.5
0,2018-10-31,60.0,53.7
0,2018-11-01,56.9,44.3
0,2018-11-02,53.2,40.2
0,2018-11-03,48.3,38.1
0,2018-11-04,55.1,38.2
0,2018-11-05,55.3,47.3
0,2018-11-06,55.7,50.3
0,2018-11-07,48.4,37.5
0,2018-11-08,42.0,30.5
0,2018-11-09,39.0,33.7
0,2018-11-10,35.7,18.4
0,2018-11-11,38.6,22.1
0,2018-11-12,39.8,26.9
