location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,33.848858,-80.92154,45.0,0,GMT,GMT
1,44.32337,-99.49539,587.0,0,GMT,GMT
2,35.74692,-86.6366,264.0,0,GMT,GMT
3,31.036905,-97.58008,250.0,0,GMT,GMT
4,40.175747,-111.96352,1366.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,35.8,25.5
0,2018-01-02,34.5,18.5
0,2018-01-03,34.2,23.5
0,2018-01-04,37.8,24.5
0,2018-01-05,39.0,20.1
0,2018-01-06,35.6,21.6
0,2018-01-07,36.3,19.3
0,2018-01-08,53.2,24.4
0,2018-01-09,63.7,36.8
0,2018-01-10,65.4,46.1
0,2018-01-11,71.9,55.2
0,2018-01-12,67.3,61.4
0,2018-01-13,58.9,34.4
0,2018-01-14,41.5,26.8
0,2018-01-15,42.6,23.9
0,2018-01-16,53.5,25.5
0,2018-01-17,42.3,31.8
0,2018-01-18,43.3,21.0
0,2018-01-19,54.0,27.7
0,2018-01-20,58.6,36.1
0,2018-01-21,66.4,37.2
0,2018-01-22,62.6,41.0
0,2018-01-23,64.4,55.3
0,2018-01-24,57.4,37.2
0,2018-01-25,52.8,32.3
0,2018-01-26,56.7,31.2
0,2018-01-27,63.9,41.3
0,2018-01-28,59.5,50.9
0,2018-01-29,60.2,52.1
0,2018-01-30,51.9,37.0
0,2018-01-31,51.6,26.7
0,2018-02-01,64.5,38.9
0,2018-02-02,60.9,41.7
0,2018-02-03,45.8,25.8
0,2018-02-04,58.5,35.0
0,2018-02-05,54.7,38.9
0,2018-02-06,66.1,39.5
0,2018-02-07,65.1,51.6
0,2018-02-08,60.4,48.5
0,2018-02-09,63.1,37.2
0,2018-02-10,67.1,50.6
0,2018-02-11,69.4,64.6
0,2018-02-12,72.1,59.9
0,2018-02-13,67.7,47.1
0,2018-02-14,65.0,43.3
0,2018-02-15,73.5,56.7
0,2018-02-16,76.8,62.9
0,2018-02-17,74.0,59.4
0,2018-02-18,64.7,55.2
0,2018-02-19,71.9,55.7
0,2018-02-20,77.0,60.6
0,2018-02-21,77.6,63.3
0,2018-02-22,76.0,63.6
0,2018-02-23,76.6,56.0
0,2018-02-24,78.3,60.2
0,2018-02-25,78.4,62.3
0,2018-02-26,65.8,59.5
0,2018-02-27,64.2,44.4
0,2018-02-28,58.8,46.9
0,2018-03-01,78.5,55.2
0,2018-03-02,62.5,50.6
0,2018-03-03,59.1,40.4
0,2018-03-04,58.7,37.7
