location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,44.04218,-72.90274,653.0,0,GMT,GMT
1,37.785587,-78.19275,64.0,0,GMT,GMT
2,47.41652,-121.57376,727.0,0,GMT,GMT
3,38.488575,-80.96335,321.0,0,GMT,GMT
4,44.253075,-89.5878,322.0,0,GMT,GMT
5,42.7768,-107.44083,2373.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F)
0,2018-01-01,-7.2,-15.2
0,2018-01-02,6.4,-14.1
0,2018-01-03,12.6,4.3
0,2018-01-04,13.6,6.6
0,2018-01-05,10.5,-12.5
0,2018-01-06,-10.0,-17.8
0,2018-01-07,-0.1,-16.5
0,2018-01-08,24.8,2.0
0,2018-01-09,25.7,21.6
0,2018-01-10,27.8,8.6
0,2018-01-11,44.3,26.0
0,2018-01-12,54.3,44.1
0,2018-01-13,53.3,0.2
0,2018-01-14,0.3,-14.7
0,2018-01-15,10.1,-16.4
0,2018-01-16,19.7,2.6
0,2018-01-17,24.2,13.8
0,2018-01-18,18.1,5.5
0,2018-01-19,21.5,12.6
0,2018-01-20,36.7,19.3
0,2018-01-21,32.2,25.4
0,2018-01-22,29.6,23.3
0,2018-01-23,39.8,21.2
0,2018-01-24,36.4,8.1
0,2018-01-25,8.6,-1.6
0,2018-01-26,18.2,-0.8
0,2018-01-27,39.6,14.3
0,2018-01-28,39.0,27.5
0,2018-01-29,27.5,15.1
0,2018-01-30,22.4,6.2
0,2018-01-31,14.9,-0.4
0,2018-02-01,31.2,14.9
0,2018-02-02,30.4,-3.6
0,2018-02-03,13.7,-12.5
0,2018-02-04,28.0,6.1
0,2018-02-05,30.4,2.6
0,2018-02-06,19.4,-4.9
0,2018-02-07,17.0,-0.9
0,2018-02-08,16.2,5.5
0,2018-02-09,11.5,-0.2
0,2018-02-10,34.1,9.4
0,2018-02-11,34.3,23.6
0,2018-02-12,40.8,16.1
0,2018-02-13,16.5,-0.1
0,2018-02-14,34.6,12.9
0,2018-02-15,43.0,29.8
0,2018-02-16,43.1,21.8
0,2018-02-17,23.8,2.3
0,2018-02-18,28.5,19.1
0,2018-02-19,38.2,17.6
0,2018-02-20,49.4,34.9
0,2018-02-21,60.9,38.7
0,2018-02-22,35.9,18.0
0,2018-02-23,30.2,16.1
0,2018-02-24,34.8,27.4
0,2018-02-25,29.7,21.5
0,2018-02-26,38.4,26.9
0,2018-02-27,40.9,21.5
0,2018-02-28,48.1,32.3
0,2018-03-01,41.3,29.1
0,2018-03-02,29.0,25.1
0,2018-03-03,32.1,22.4
0,2018-03-04,29.6,22.8
0,2018-03-05,31.0,22.3
0,2018-03-06,34.8,9.7
0,2018-03-07,28.5,22.2
0,2018-03-08,26.0,21.7
0,2018-03-09,28.6,14.0
0,2018-03-10,27.6,17.7
0,2018-03-11,27.8,20.2
0,2018-03-12,32.6,14.0
0,2018-03-13,27.3,22.5
0,2018-03-14,28.7,21.9
0,2018-03-15,27.7,21.3
0,2018-03-16,24.2,13.9
0,2018-03-17,16.0,4.4
0,2018-03-18,11.8,-3.9
0,2018-03-19,15.2,0.6
0,2018-03-20,25.7,5.3
0,2018-03-21,32.2,11.6
0,2018-03-22,30.2,22.2
0,2018-03-23,33.2,21.3
0,2018-03-24,26.9,20.3
0,2018-03-25,33.2,15.7
0,2018-03-26,37.2,12.6
0,2018-03-27,39.4,17.8
0,2018-03-28,40.9,29.5
0,2018-03-29,45.6,32.0
0,2018-03-30,43.8,34.3
0,2018-03-31,40.6,12.8
0,2018-04-01,36.8,25.1
0,2018-04-02,34.9,8.0
0,2018-04-03,40.3,17.9
0,2018-04-04,44.4,29.5
0,2018-04-05,28.6,10.7
0,2018-04-06,31.4,12.4
0,2018-04-07,30.5,19.6
0,2018-04-08,27.9,6.2
0,2018-04-09,28.8,9.8
0,2018-04-10,33.4,15.0
0,2018-04-11,36.5,17.0
0,2018-04-12,42.2,20.7
0,2018-04-13,48.6,35.6
0,2018-04-14,37.4,21.1
0,2018-04-15,22.2,18.1
0,2018-04-16,33.1,19.2
0,2018-04-17,35.9,28.7
0,2018-04-18,37.1,21.9
0,2018-04-19,33.3,21.5
0,2018-04-20,32.8,23.0
0,2018-04-21,41.7,24.2
0,2018-04-22,43.1,19.1
0,2018-04-23,47.6,26.2
0,2018-04-24,58.9,38.1
0,2018-04-25,48.8,38.4
0,2018-04-26,50.2,41.8
0,2018-04-27,49.6,33.9
0,2018-04-28,54.4,40.7
0,2018-04-29,45.2,33.3
0,2018-04-30,41.6,31.4
0,2018-05-01,59.7,31.3
0,2018-05-02,73.6,50.3
0,2018-05-03,68.0,52.6
0,2018-05-04,68.9,52.6
0,2018-05-05,62.7,38.3
0,2018-05-06,60.1,50.9
0,2018-05-07,55.6,37.7
