State,Slope
AL,5.592727272727275e-05
AK,-3.845454545454535e-06
AZ,2.7318181818181836e-05
AR,1.5118181818181816e-05
CA,2.376363636363638e-05
CO,3.264545454545454e-05
CT,3.0727272727272787e-06
DE,8.863636363636362e-05
DC,3.080000000000001e-05
FL,7.075454545454543e-05
GA,6.190909090909088e-05
HI,-1.4009090909090964e-05
ID,-1.1527272727272721e-05
IL,4.168181818181817e-05
IN,2.8790909090909096e-05
IA,1.1818181818181022e-07
KS,5.778181818181818e-05
KY,2.5554545454545486e-05
LA,8.229090909090908e-05
ME,-3.981818181818182e-05
MD,6.803636363636367e-05
MA,-2.121818181818182e-05
MI,1.8327272727272748e-05
MN,7.011818181818183e-05
MS,0.0001087818181818182
MO,6.0309090909090905e-05
MT,-2.5363636363636103e-06
NE,2.7918181818181817e-05
NV,2.0736363636363614e-05
NH,-7.054545454545469e-06
NJ,3.9363636363636376e-05
NM,1.0818181818181755e-06
NY,8.229090909090908e-05
NC,6.649999999999996e-05
ND,3.782727272727274e-05
OH,3.0381818181818194e-05
OK,6.818181818182486e-07
OR,-1.010909090909088e-05
PA,2.0654545454545462e-05
RI,-1.7009090909090937e-05
SC,7.438181818181819e-05
SD,3.734545454545452e-05
TN,1.9190909090909042e-05
TX,2.3945454545454555e-05
UT,-1.4072727272727267e-05
VT,-2.2045454545454522e-05
VA,6.504545454545452e-05
WA,-5.120909090909092e-05
WV,0.00010732727272727272
WI,6.284545454545454e-05
WY,4.328181818181819e-05
