State,Slope
AL,-7.045454545454549e-06
AK,8.454545454545482e-07
AZ,-3.7272727272727282e-06
AR,-1.499999999999998e-06
CA,-2.036363636363639e-06
CO,-9.090909090909096e-07
CT,-1.7636363636363604e-06
DE,3.318181818181823e-06
DC,-1.5563636363636363e-05
FL,-9.545454545454547e-06
GA,1.445454545454548e-06
HI,-1.527272727272729e-06
ID,1.0181818181818154e-06
IL,-3.4545454545453904e-07
IN,-1.0909090909090484e-07
IA,-2.218181818181823e-06
KS,3.000000000000004e-07
KY,4.500000000000016e-06
LA,2.990909090909089e-06
ME,2.3272727272727306e-06
MD,-4.790909090909094e-06
MA,-1.6454545454545451e-06
MI,8.181818181818578e-08
MN,2.0909090909090865e-06
MS,4.854545454545454e-06
MO,1.499999999999999e-06
MT,1.2636363636363629e-06
NE,-1.2454545454545443e-06
NV,-7.645454545454548e-06
NH,4.590909090909092e-06
NJ,-5.099999999999998e-06
NM,2.8727272727272734e-06
NY,2.990909090909089e-06
NC,3.909090909090906e-07
ND,-1.7454545454545435e-06
OH,-2.745454545454549e-06
OK,-8.581818181818183e-06
OR,-4.4454545454545465e-06
PA,-4.08181818181818e-06
RI,4.199999999999999e-06
SC,5.454545454545095e-08
SD,-2.4181818181818147e-06
TN,-5.0636363636363665e-06
TX,-4.736363636363637e-06
UT,5.909090909090913e-07
VT,1.3909090909090923e-06
VA,3.636363636363429e-08
WA,-5.236363636363632e-06
WV,4.727272727272685e-07
WI,2.109090909090905e-06
WY,-1.3181818181818216e-06
