State,2010 Lung & Bronchus,2010,2010 Pop,2011 Lung & Bronchus,2011,2011 Pop,2012 Lung & Bronchus,2012,2012 Pop,2013 Lung & Bronchus,2013,2013 Pop,2014 Lung & Bronchus,2014,2014 Pop,2015 Lung & Bronchus,2015,2015 Pop,2016 Lung & Bronchus,2016,2016 Pop,2017 Lung & Bronchus,2017,2017 Pop,2018 Lung & Bronchus,2018,2018 Pop,2019 Lung & Bronchus,2019,2019 Pop,2020 Lung & Bronchus,2020,2020 Pop
Alabama,4160,23640,4779736,4240,25530,4799069,4440,26440,4815588,4550,27080,4830081,4160,26770,4841799,4150,26150,4852347,4220,27020,4863525,3880,26160,4874486,4190,27830,4887681,4150,28950,4903185,4230,28570,5031864
Alaska,360,2860,710231,380,3090,722128,490,3640,730443,470,3290,737068,430,3750,736283,420,3700,737498,440,3330,741456,450,3600,739700,460,3550,735139,400,3090,731545,400,2960,732964
Arizona,4030,29780,6392017,3820,31550,6472643,3970,31990,6554978,4250,34010,6632764,4280,32830,6730413,3740,32440,6829676,3980,32510,6941072,3940,35810,7044008,4460,34740,7158024,4290,37490,7278717,4200,36730,7186683
Arkansas,2620,15320,2915918,2660,16070,2940667,2760,16120,2952164,2700,16330,2959400,2660,16520,2967392,2620,15830,2978048,2610,16460,2989918,2620,16040,3001345,2720,16130,3009733,2690,16580,3017804,2760,17200,3014348
California,18490,157320,37253956,17660,163480,37638369,18060,165810,37948800,18720,171330,38260787,18780,171730,38596972,18430,172090,38918045,18140,173200,39167117,18270,176140,39358497,18760,178130,39461588,18990,186920,39512223,18040,172040,39503200
Colorado,2270,21340,5029196,2250,22390,5121108,2400,22820,5192647,2550,23410,5269035,2540,23810,5350101,2560,24540,5450623,2520,24730,5539215,2420,24330,5611885,2560,25570,5691287,2690,26800,5758736,2550,27290,5785219
Connecticut,2640,20750,3574097,2680,21440,3588283,2720,21530,3594547,2780,21180,3594841,2730,22070,3594524,2870,21970,3587122,2770,21700,3578141,2540,21900,3573297,2700,21240,3571520,2580,21950,3565287,2650,20300,3577586
Delaware,800,4890,897934,780,5130,907381,800,5340,915179,760,5370,923576,790,5320,932487,860,5280,941252,850,5630,948921,850,5660,956823,890,6110,965479,840,5870,973764,890,6660,991862
District of Columbia,360,2760,601723,360,2830,619800,370,2980,634924,320,2920,650581,320,2840,662328,310,2800,675400,300,2910,685815,310,3070,694906,310,3260,701547,340,3190,705749,300,3600,670839
Florida,18390,107000,18801310,17150,113400,19053237,17860,117580,19297822,17960,118320,19545621,17960,114560,19845911,16810,114040,20209042,17360,121240,20613477,19000,124740,20963613,18710,135170,21244317,18560,131470,21477737,18150,150500,21591299
Georgia,6280,40480,9687653,6410,44580,9802431,6570,48130,9901430,6690,49280,9972479,6540,47390,10067278,6460,48070,10178447,6670,48670,10301890,6610,48850,10410330,7160,56920,10511131,7070,50450,10617423,7240,55190,10732390
Hawaii,770,6670,1360301,780,6710,1379329,860,6610,1394804,900,6650,1408243,890,6640,1414538,890,6730,1422052,740,6850,1427559,700,6540,1424393,830,6280,1420593,860,7120,1415872,870,6800,1451181
Idaho,860,7220,1567582,870,7520,1583910,920,7720,1595324,930,7670,1611206,960,7990,1631112,910,8080,1651059,990,8120,1682380,980,7310,1717715,1060,8450,1750536,1030,8390,1787065,990,8540,1849339
Illinois,9190,63890,12830632,9210,65610,12867454,9190,65750,12882510,9270,66090,12895129,9100,66840,12884493,8920,65460,12858913,8820,65090,12820527,8600,64720,12778828,9220,66330,12723071,9130,68560,12671821,9210,71990,12790357
Indiana,5430,33020,6483802,5520,34050,6516528,5460,35060,6537703,5500,35550,6568713,5540,35560,6593644,5510,35620,6608422,5520,35180,6634304,5540,36440,6658078,5840,37250,6695497,5500,35280,6732219,5700,37940,6789098
Iowa,2450,17260,3046355,2480,17500,3066336,2330,17010,3076190,2350,17480,3092997,2330,17630,3109350,2440,17140,3120960,2420,17100,3131371,2410,17230,3141550,2480,17630,3148618,2410,17810,3155070,2440,18460,3190904
Kansas,1990,13550,2853118,1990,14070,2869225,1910,14090,2885257,1930,14370,2893212,1900,14630,2900475,1930,14440,2909011,1970,14530,2910844,1880,14400,2908718,2050,15400,2911359,2000,15340,2913314,2020,16170,2938124
Kentucky,4780,24240,4339367,4860,25010,4369821,4430,25160,4386346,4560,25100,4404659,4690,25770,4414349,4680,26490,4425976,4960,25720,4438182,4830,26220,4452268,5150,25990,4461153,4960,26400,4467673,4890,26500,4508155
Louisiana,3320,20950,4533372,3630,22780,4575625,3660,23480,4600972,3740,24930,4624527,3470,24300,4644013,3380,24100,4664628,3730,25070,4678135,3510,24220,4670560,3660,25080,4659690,3810,26800,4648794,3700,26480,4652022
Maine,1370,8650,1328361,1400,8820,1328284,1340,8990,1327729,1380,9190,1328009,1400,9270,1330513,1360,8810,1328262,1410,9270,1331317,1380,8750,1334612,1450,8600,1339057,1400,8920,1344212,1430,8180,1364517
