State,State Abbreviation,2010_AllSites,2010_AllSites_perCapita,2010_LungBronchus,2010_LungBronchus_perCapita,2010_Population,2011_AllSites,2011_AllSites_perCapita,2011_LungBronchus,2011_LungBronchus_perCapita,2011_Population,2012_AllSites,2012_AllSites_perCapita,2012_LungBronchus,2012_LungBronchus_perCapita,2012_Population,2013_AllSites,2013_AllSites_perCapita,2013_LungBronchus,2013_LungBronchus_perCapita,2013_Population,2014_AllSites,2014_AllSites_perCapita,2014_LungBronchus,2014_LungBronchus_perCapita,2014_Population,2015_AllSites,2015_AllSites_perCapita,2015_LungBronchus,2015_LungBronchus_perCapita,2015_Population,2016_AllSites,2016_AllSites_perCapita,2016_LungBronchus,2016_LungBronchus_perCapita,2016_Population,2017_AllSites,2017_AllSites_perCapita,2017_LungBronchus,2017_LungBronchus_perCapita,2017_Population,2018_AllSites,2018_AllSites_perCapita,2018_LungBronchus,2018_LungBronchus_perCapita,2018_Population,2019_AllSites,2019_AllSites_perCapita,2019_LungBronchus,2019_LungBronchus_perCapita,2019_Population,2020_AllSites,2020_AllSites_perCapita,2020_LungBronchus,2020_LungBronchus_perCapita,2020_Population
Alabama,AL,23640,0.004946,4160,0.00087,4779736,25530,0.00532,4240,0.000884,4799069,26440,0.005491,4440,0.000922,4815588,27080,0.005607,4550,0.000942,4830081,26770,0.005529,4160,0.000859,4841799,26150,0.005389,4150,0.000855,4852347,27020,0.005556,4220,0.000868,4863525,26160,0.005367,3880,0.000796,4874486,27830,0.005694,4190,0.000857,4887681,28950,0.005904,4150,0.000846,4903185,28570,0.005678,4230,0.000841,5031864
Alaska,AK,2860,0.004027,360,0.000507,710231,3090,0.004279,380,0.000526,722128,3640,0.004983,490,0.000671,730443,3290,0.004464,470,0.000638,737068,3750,0.005093,430,0.000584,736283,3700,0.005017,420,0.000569,737498,3330,0.004491,440,0.000593,741456,3600,0.004867,450,0.000608,739700,3550,0.004829,460,0.000626,735139,3090,0.004224,400,0.000547,731545,2960,0.004038,400,0.000546,732964
Arizona,AZ,29780,0.004659,4030,0.00063,6392017,31550,0.004874,3820,0.00059,6472643,31990,0.00488,3970,0.000606,6554978,34010,0.005128,4250,0.000641,6632764,32830,0.004878,4280,0.000636,6730413,32440,0.00475,3740,0.000548,6829676,32510,0.004684,3980,0.000573,6941072,35810,0.005084,3940,0.000559,7044008,34740,0.004853,4460,0.000623,7158024,37490,0.005151,4290,0.000589,7278717,36730,0.005111,4200,0.000584,7186683
Arkansas,AR,15320,0.005254,2620,0.000899,2915918,16070,0.005465,2660,0.000905,2940667,16120,0.00546,2760,0.000935,2952164,16330,0.005518,2700,0.000912,2959400,16520,0.005567,2660,0.000896,2967392,15830,0.005316,2620,0.00088,2978048,16460,0.005505,2610,0.000873,2989918,16040,0.005344,2620,0.000873,3001345,16130,0.005359,2720,0.000904,3009733,16580,0.005494,2690,0.000891,3017804,17200,0.005706,2760,0.000916,3014348
California,CA,157320,0.004223,18490,0.000496,37253956,163480,0.004343,17660,0.000469,37638369,165810,0.004369,18060,0.000476,37948800,171330,0.004478,18720,0.000489,38260787,171730,0.004449,18780,0.000487,38596972,172090,0.004422,18430,0.000474,38918045,173200,0.004422,18140,0.000463,39167117,176140,0.004475,18270,0.000464,39358497,178130,0.004514,18760,0.000475,39461588,186920,0.004731,18990,0.000481,39512223,172040,0.004355,18040,0.000457,39503200
Colorado,CO,21340,0.004243,2270,0.000451,5029196,22390,0.004372,2250,0.000439,5121108,22820,0.004395,2400,0.000462,5192647,23410,0.004443,2550,0.000484,5269035,23810,0.00445,2540,0.000475,5350101,24540,0.004502,2560,0.00047,5450623,24730,0.004465,2520,0.000455,5539215,24330,0.004335,2420,0.000431,5611885,25570,0.004493,2560,0.00045,5691287,26800,0.004654,2690,0.000467,5758736,27290,0.004717,2550,0.000441,5785219
Connecticut,CT,20750,0.005806,2640,0.000739,3574097,21440,0.005975,2680,0.000747,3588283,21530,0.00599,2720,0.000757,3594547,21180,0.005892,2780,0.000773,3594841,22070,0.00614,2730,0.000759,3594524,21970,0.006125,2870,0.0008,3587122,21700,0.006065,2770,0.000774,3578141,21900,0.006129,2540,0.000711,3573297,21240,0.005947,2700,0.000756,3571520,21950,0.006157,2580,0.000724,3565287,20300,0.005674,2650,0.000741,3577586
Delaware,DE,4890,0.005446,800,0.000891,897934,5130,0.005654,780,0.00086,907381,5340,0.005835,800,0.000874,915179,5370,0.005814,760,0.000823,923576,5320,0.005705,790,0.000847,932487,5280,0.00561,860,0.000914,941252,5630,0.005933,850,0.000896,948921,5660,0.005915,850,0.000888,956823,6110,0.006328,890,0.000922,965479,5870,0.006028,840,0.000863,973764,6660,0.006715,890,0.000897,991862
District of Columbia,DC,2760,0.004587,360,0.000598,601723,2830,0.004566,360,0.000581,619800,2980,0.004693,370,0.000583,634924,2920,0.004488,320,0.000492,650581,2840,0.004288,320,0.000483,662328,2800,0.004146,310,0.000459,675400,2910,0.004243,300,0.000437,685815,3070,0.004418,310,0.000446,694906,3260,0.004647,310,0.000442,701547,3190,0.00452,340,0.000482,705749,3600,0.005366,300,0.000447,670839
Florida,FL,107000,0.005691,18390,0.000978,18801310,113400,0.005952,17150,0.0009,19053237,117580,0.006093,17860,0.000925,19297822,118320,0.006054,17960,0.000919,19545621,114560,0.005772,17960,0.000905,19845911,114040,0.005643,16810,0.000832,20209042,121240,0.005882,17360,0.000842,20613477,124740,0.00595,19000,0.000906,20963613,135170,0.006363,18710,0.000881,21244317,131470,0.006121,18560,0.000864,21477737,150500,0.00697,18150,0.000841,21591299
